id,sequence,label
0,chaptersaahphloaipcdtrgvvxnfvu,1
1,tccmxxzmanfxjgylkyztyrlgofabjv,1
2,dsqhnbvwnhenjbgakbxkepthtkbtve,1
3,bnkxwkcnvaskhtsrpjvenbpxwgzaeu,0
4,cffixrxfypogfdkqkcnaaqlflrpvad,0
5,iakvtcblqmxoobvicqxfrthjxsxnmo,0
6,neyhpmdulyxeetxoyrsxdpklukcwtx,0
7,znthpluibjwrlcqnboxcvtxzsaowiw,1
8,uoufiskwrhgufbgtgqlvvmidstdkgl,1
9,ifnccchoqxssexeczsdmssearigsgw,0
10,jemvhyxvoajdvmdgrdxgwhravinefl,1
11,fivfdnxzhqdkwuezebuyexzvubogej,0
12,hdbhqdmojqvjmalansyinterchange,1
13,damlegjmcgjkbowcrhqqvwmzciudju,0
14,rrvhzgmqjdnugtlftplpaqttgyknxe,0
15,wyrsnbevlxqyuysqbqqlsizkunigwo,0
16,rdszhepzlqwvjgvjmvrrfjbkwifeur,1
17,uhpxqosowrahospicepoonppsniadc,1
18,jpbllvhrvbupbmxouawivauywxztop,1
19,pgxrwbqqahjhtimkglsplugenzomps,1
20,fovtxhwwlznzaarnjouvarzpokkjog,0
21,dwqlekuwmbqbqxvjklztbrfnlrejia,0
22,fqnatykvqzfpbhiqpzbcbecamedhba,1
23,ncxmckccwioyiwxayxgnbqbnrmgajg,0
24,ljhvvgpqglbhoefnhubwoyklvezmwr,0
25,ngavfegacquaintedkgrtxbgyszwsi,1
26,exthzqfkhnjmwppywypzeetcourtya,0
27,rdkmrcoiftkczetjqkhnbkzzphconr,0
28,adilmftwxhmgroakrqtoxwjmrsohot,0
29,elhneiipqrkzaizdvjqdozuvjvnnxt,0
30,judoinrdyscvulfkvidezaecnurmaa,0
31,wuvponocbuzvcekqmaxuifbziyrroc,0
32,gifmxechiavennasokflznicycmjui,1
33,sersdaupgzdatkjlrhxzwzwurrptrb,0
34,sltdnnnjpekjcvnmrdcxhgbellaggi,0
35,onxkiaqqatbeorrhfcmkzngcpfkwch,0
36,nstlakeqohbabzaowxugcwpmxdkeop,1
37,gylfejaeqvihiyketgixkwjnfsotpz,0
38,ghsopvlncomonzlacquaintanceshi,1
39,mugsslioenkiicqkripenedyvxreik,1
40,apksmjhlnttblqzatkqnptbcmbmjcd,0
41,kimpxhlrjmhddmswdhvelesvkkinti,0
42,macyarzwpmusahurcdgchppctaociy,0
43,imokxthucedblbonppwswgoodyhbwa,1
44,tewrexapreyfyqdnhxunxwjkthticj,0
45,xlihgdnkeetpdklmibksrqvyearsar,1
46,urjutznnpdczyhkhybvtjbkvzgylqn,0
47,wiyloahzdfcyodojhrzkpziussjhri,0
48,xbqnhaveyewzjrspdlkxsojizrnsji,1
49,gndxxhlobepektldwkumsroyjfoxsz,0
50,hiwbecgvffatzcireddldzpljjztuf,0
51,qvzewkqrolledysgrzfmkudvbgxsjh,1
52,lniqrnzxmtyvomtvjtnwedyqqibbvg,0
53,khwcroyenzmuypclwhlycealuoyoal,0
54,dwracgaqrtcnbhfcnngbelievebgkj,1
55,cviuqrspqdepisodezrzjckmzfrwqg,1
56,orklitzrmauuimiyumfkrepdmbrlxj,0
57,qdyhotufzludmzghfcsbhkztdbycwr,0
58,xsxykzlpyahzydgwtlaqdwrlifeulc,1
59,livgqxgwbrqgtkppddwkqvtvtoldkk,1
60,nrvcvlxsunkqlfpksyijrlqpywdkby,0
61,fgfgdssbsmryixwkzjfpainodtiunz,1
62,vtefvjlexfeelingshnuvgawrqhpox,1
63,xzseeyhczgrpqvxxkcasfqgoqxpres,0
64,enthejcwdztxsknfyevtecacxeswht,0
65,vuurgvyccvzshxbngpdpgnsprlxqwb,0
66,qrlhxzbtdybmjqpannpjudwdkttvbv,0
67,birktgtspxcgreeneopoyvgyevacim,1
68,mmimlublrekchticjfbtizhlcblalx,0
69,iusrprltyisqcmkmlltgnabpjwjpfr,0
70,jhfslmhvzjdanacolearnedzfbepai,1
71,jyajpfxmtpxpaovcehionchhbqyitd,0
72,gwhwwrobinsonsyxwlwyrdmvketvsm,1
73,denauuzntnhtlvrzzjahpdbdtejepj,0
74,kcitbwqxhxnwelyfupmzsrreybskjl,0
75,errrgcjsltjxenmknowwhzwymxagsl,1
76,lxnqizmhpciopavbyuyfakegivdikp,0
77,sgyqekpolfuswuldgxoutrememberr,1
78,azjfyxyrvdxmzmaddressedorqcupz,1
79,lvpqyjwtlxgtpkkqvslrqsokjtpowj,0
80,tvuuomyragjyanxmbcijqjochiaven,0
81,nanejylpkozoxhaalbppcyccalizlr,0
82,yamoktlyuwqejzfphfuhgswzpdqwkg,0
83,oprauojxijbyyegdutacwisxowrvgh,0
84,jnrfvsjbackqwlayphbpzhjlaxxuao,1
85,ukjjufejgszjxifefenxtjyfyfgvax,0
86,zehkodgcielemcxeiemghesauzppec,0
87,momentfpcqtymzquzkhjrjkpwhxjms,1
88,ueftulzspbradteveqfmalajssuabz,1
89,izifdcekeleyxudhfglonklizmtecj,0
90,rkdikfydpibeokhgaxrcoczjizamrb,0
91,lluflhrecklyevortfgeshadolkyiu,1
92,qmlduorfyltmuicqyionbhhdwspqpq,0
93,kfwkbqsvqwuwxmchhhgpvtayqeepjm,0
94,aewtlnvxxbeenquggpzxdgoqybtijw,1
95,uuuafmuytrsqxmzqpsurjqdistayin,0
96,gvrxonvvhkfdiypfnelwwvanotutpf,0
97,qrcoyjiyfpzotidczmnmtxcgyjqcfc,0
98,hrtbpeiszjuwnqtqqdaysqwngyozaj,1
99,kyhbbunaxfewwdgxyyutdqxdoovvoj,0
100,arghskuoramwwpefkzxwqywlhbixdf,0
101,xigoldentqluzmclfiegssvizmunqy,1
102,bwrgddswywchjhyqzgdqooupcueagl,0
103,ejralvblfxdflnbxnfzlidqpkusglz,0
104,gluyvjgwkvxjfdznotgerfhtucrtvw,0
105,jxicsjliatusispgmisseielkmhcis,1
106,emstlssdtntxhmwzaepbwpfdyanudn,0
107,rfbyeosijxfhuogpzckkscnoiyihwx,1
108,dikesfxvrttjvemnrcnewunbnbwutu,0
109,sykszscnuryikunkubrlbqvclobhol,0
110,dwopoxkxczyxdnpfbbdvdklsmallox,1
111,wjspjyngjsvthvxebgxuahrinnsayu,1
112,abigvwjtwnodjsdqanvzuzxtoowyxv,0
113,adgyhwkdhwomzykswitzerlandofmj,1
114,crvqamnbrycnjwfnkvmphostessfiq,1
115,wzrybdygfulwmwnskorrdfiwhavexa,1
116,fbsrfwmazaypmlixqqczsiyiudbeen,1
117,nyaeckqhjqdifdprettiestrhwwoff,1
118,iglnlopbrmshkcfwrfuuymtmmngltf,0
119,thqkvefdqtagybmeynvkyonomrfpan,0
120,vtlandladyqvkzgperurblqzcykaeq,1
121,lkpdaypjqalohvzsgyymgipebwxjzz,1
122,zmgwtpfikmbpdwzpdxliplmzurgode,0
123,parturepxhzulxcgjbledbtkqjjcck,0
124,dvqizyyhfwolixmsfvlbbtfsoafahf,0
125,nxuakojthnvbeolsjlpsouthwardso,1
126,ypharhadjcuggziupnsfkqescsfxuy,1
127,ykmgommwalkedxqkeamhfhqudfxrqw,1
128,ugialgmhsohpynquyrdljiznbxocaz,0
129,jrkmjmyqhzolmbtonyzlvmalammrpg,1
130,aeglbgqrpyjiczdzhsalgxnfiwnnif,0
131,diligencekmpzrycabencmhuosqcbg,1
132,httcwrrhippxluaccnammylpftohzc,0
133,qepickjicnjohfvsgbrdmqxezmpoea,1
134,koimhjnjakhejjarothcaciyjwzmcw,0
135,ocfwsfkskohiifkskszelghkuobgor,0
136,gezhawufsuxamfntikpqbtnyxupass,1
137,dcuhvopxjftemoimewpsttdumnudlo,0
138,pefqhizxnxtoxfjytzuvwsqxjbaqci,0
139,lkvwregardnzzlpzyhxyzpzdzltnvn,1
140,tlglalbehrqzhynivtijdcuamrhjkz,0
141,voxqmmgyugtwfrultgwqdrdikfgphh,0
142,grandestpuhjjqacvoszrgpkqezarf,1
143,kbxeafalgchdotolvrjufavqixydfe,0
144,zzktrajcxiypjdvzfpscwntbzspots,1
145,byocovxmwicnwjkjyzpsnwnwgqgumc,0
146,znyuwanderingchmbrpadzofnujoqg,1
147,bkprmdzpdstepsxjgqnyopmznrdfoq,1
148,pwqaitxtqbhizynsummhavetwtztip,1
149,skmdviadcwtfuaogpwswupjzxcjxis,0
150,mkkttsscyjaypioiikmvtuqjcarrie,0
151,dwkgjalalljjhdekhnqrikgawnchjq,0
152,yusinqgwbcvprmakcnjpbfyoyzxctx,0
153,axdqmibwundowxkpszcvyeflmasmth,0
154,adgddgtpsbyeiofyidldgdcpsifpmr,0
155,zqveeukvfyqceutfwmowpcgvfdsrfp,0
156,rfztcinobgxroeljvlingeredcntrs,1
157,qsicvvhwqyqzbbbxlecturalrlhgaq,0
158,mnbczsapvgcswdmppmkreewhourslj,1
159,tgfhakmxisrewxhzitsftihmymsjih,0
160,zayblxgambfjmqgmiwabsoqhmihxid,0
161,qnwalkedjtanjdkvhfxlhqkitknutq,1
162,xlpbbymaeeigdoohlgkltritzlbxex,0
163,lihttaglmsiaexbyjlrhbbficqzymh,0
164,wrjosgzricdthitherikplyfrohuqh,1
165,jygcixbvmkxoumeklzdovgivawlllj,0
166,qilspfxonfarewelleuczezmshcrdr,1
167,blckbtsmxivlkczfxqvqgsptflthgd,0
168,arkzvudlpcpvhbucyahqodihoezolb,0
169,vsuepczosglfsdwtxdgjhucqdnonca,0
170,asnyoajzbrqxbffjmeejzoednrrvpt,0
171,eyctxomkfotutoweringuskahsutil,1
172,miqnujsedwerocksvogygobmlaleqa,1
173,xhzctoijsqkuzeysbgbqxrnarrowtt,1
174,iwbvwmorqlcwszbekvvwjuvdqtfsfr,0
175,isriubemstdkdgdcebwbmvtdznesca,0
176,usewaymdpqjqhnpowpucxkjrbodxbs,0
177,sgzkufnosdjvrahroaringaphvkkpo,1
178,penaklfpewfiiteueywbvjzyohbxap,0
179,criverawstrxpmtdbzpbihzrljjwys,1
180,jngdquebxqbvoalaikrbouubsyiscz,0
181,ggtjnslgmtlfzrjxxzqahbtojudire,0
182,zzgnwpezyfptrustingfcfiwcavuuw,1
183,ecelfginezpelyqoymnyqtfkizjwjp,0
184,tfonbypvjdfucfgktofejofkgvbeff,0
185,bszdbchifwpisyaufejyzfriendlfz,1
186,bziscicowwtgdmadntrdxrthckjkct,0
187,qwnurwiqhgzquhtpldzzsnlgrpcgwr,0
188,exxtbozagwdbxzumaluozlandladyi,1
189,rrsgahijtdxvseciforphlabwmwluu,0
190,yzcdsblepngynjseeucucdjghjglug,1
191,gagezjhuzrfruauxfrjmeffianiahp,0
