id,sequence,label
0,policemanxarcwwhrwflzvukenkxoh,1
1,juypbcsnfbziaudmufkmyirkpmrzqm,0
2,cbmmktfcufzmrtwsmxklgyzfbeattp,1
3,fjfecinqawsjqrcsmlxygazedfunql,0
4,hmmnvaifkfiplggyyfdyubvzgdexzz,0
5,movedtmpprabbvhrddppfxnvgchqfx,1
6,gfpkgjitwsfcjxzbrqtfpzbipopcmc,0
7,qwwhsdiifcxjeagpuqkukdqfcqaven,0
8,uearqwukaegquyzeaybwokqwqkpcqu,0
9,uemnkchsdjieemrizyhwddekbhtkfr,0
10,kblwktximpressivelywpjgeyfxumd,1
11,aysjuuhtrwczcskxhixqxqwhpsiefx,0
12,mqvwbwvkwksvnaacnmfxpkltomijcy,0
13,vkfoiylsjtdckucodwjlimpressive,0
14,nesskpedasgwyqlumhdrrbgtxekvwd,0
15,znjavllqunrrzbqwlkoaxukvechrui,0
16,gvqhabitualuecokdlkkvbclraeycs,1
17,cuuppswjqqogltsaaagvmlryexdayq,0
18,escshowfntxvmmfwqidogcuajphcum,1
19,etjbqxaoyyzojzwrmkziinlqipjbkv,0
20,mlawasxgcoadjojagwqnmcrgaywmtg,0
21,ywohectfmbavgpehpspectatorswwp,1
22,rnkgsqegechmtiovkdbnpotlxztsra,0
23,fqgxzxuiaxfnupmfrkcwhxxqaeqbyx,0
24,awspblyrzzlcnwwpwuhztihtimeido,1
25,zwyppxstvnbageuxotlpdosabarely,1
26,geotumxkdbplchqjswyjsivpranoek,0
27,iooqclebjrzlonwwdsacioreyvckww,0
28,vzjfisgximendmqmmbclockmjezksj,1
29,rallenightnqgodfafguwvvfpruwtl,1
30,canpwdjdkidcocrordrktshmklrdsd,0
31,rvuvxhbvvwhqwtcjgmcsmkymtvbiok,0
32,fymcwchillyjejxvjkeycsehuboyfd,1
33,jjguststqzblfcenbgnnbajuugfjim,1
34,tmqbzmfravgdwindxlqdzdtastebue,1
35,hnlshvvacjqaedebuoabkvkzveuxuz,0
36,bkblmcnqhzdeqdizedsuhfnlefroxb,0
37,jbjkjcpecgbuyrainzhhztumajtmzl,1
38,gytmqretaquhqwvsbhgvoajifapcrn,0
39,yixlohadzhybxzzpoybkxgnmrhpfdb,1
40,jhzbhdurcdpoqraeoydfyclpdynmqz,0
41,sbqvucvoxzhtqinighrhhgwhmlzdtx,1
42,dodiuppgkxphpteioaxpmbsgdvfcau,0
43,thdwaxdjkyyaymebzcxebyicnvccsr,0
44,vdlzyztsmzinoudyjnryfedepeople,0
45,dmatkleqzehgedxwyxpvmwcvhnrmqa,0
46,aknhwmazjvnicwvrlhagakpqyappoy,0
47,hxxjpgymwrgblqtbbrrcivmpcagijs,0
48,treetsawxrdbvcfsbvnvefwxqlaawe,0
49,yudgvjhleldxnjhmgbshtzcutpbign,0
50,enagaijvbdwwuqurlirsicapqzdoor,0
51,shxhnqzlfpnmotnpuerndxnmfagubx,0
52,qmavzjcguctqaanwchsvnbxqbvywyb,0
53,zcqpshlfzzcvfojcuxqpwilqgbnotz,0
54,kyzehbotwirlingcihsnzrfaeuukba,1
55,vtumjxiguybjojvztofldpxityclub,1
56,acbkhcukfpxzycfygbpyfvslbukbiz,0
57,tfhiuytuisbfrkljjoeintricatexq,1
58,vuwjhvzxssximybicthaswabudnzqd,0
59,cvxzrltwhpamlvtlzjnpfykihprdtn,0
60,mycgecqlakartfulqhvcjqxnklohqt,1
61,jnmeimovementsclirmturningxqnd,1
62,itekvxxmhmkfgrziheeovibuqwbcyd,0
63,hmzlvhmcastvxbbqrypgpokemnbeqy,1
64,ljqnfvuvzeoinbwjpmxakqvnebmfyc,0
65,likkwbxiehypcbbuzpgzqjlujedomb,0
66,nwatchfulqxcmrmayofhgxeyerjaki,1
67,zdmqmutqfcrgmfeiybmbhuxlaianpe,0
68,wjxuajtjherhaknkmjacigporsjazo,0
69,jsnpxninserhwjypoptplrrsavrwia,0
70,downhrqrfjeocdaimacbyzpgwyxjzi,0
71,okxkgjvyritdkltusrlxvcjgsgpknq,0
72,jgdhxfccshevuizjrhruybmyxiurik,0
73,bqftytpacificqtymkhmksvbthgbsn,1
74,ccqqtyjsjethpawwtgrvcjdctwmeyy,0
75,oqlvedgfhwraeqavulewuiyfykjkka,0
76,thoroughfarelofficerxfkgmlehmt,1
77,hchaiyburtshdrlhppkybqisahphme,0
78,ahbdlxuprhmvtnfauapbstalwartks,1
79,vzrbwdvhkyfrwchijwvrformvnyxja,1
80,qhodjqmtxblqovqkbiqsusdmmaqotm,0
81,lktkqnbcrnaiiczixekzqbifdugvxw,0
82,vlneeiosfokdwxozdmumwnslightia,1
83,vcwvaxlylutxbmkaippzlfklwxqubs,0
84,waggeronvmmmqttfmadeodljwhkefq,1
85,rcxfcoefineeqcimohlffriwxvwujy,1
86,tduqgdlgluamxepleptzitqwohbpsw,0
87,hiyyhasnwdouchlgyukkjufpicture,1
88,fvgbhapkvtaxeofxcallrtdeslscgq,0
89,hfgnpsjihtmacalobjaxukkluqawgu,0
90,fpbawqkknakwyesbfapjdsvvcglknq,0
91,ogujqbefguardianmnwyzkqffgamzg,1
92,lptvbcdbslacdtqvurzrsmoakcbqyf,0
93,epeaceyericstyxnapvwboxvicinit,1
94,yddybvhcwecjkjrupwxzwgoispmanp,0
95,bwydmihvnxxxlsxeimnslwiqxhulqa,0
96,hfcvhhbctnyosnkeptqtgrbpskotjn,1
97,oewfaddfearlyscskctimxbvbvtwyz,1
98,bjkhbnopnlxfretzfirhacrdgxquvr,0
99,jyidbhkwtbxaubvpxuuvcpfixobpjr,0
100,tnqfhabxqolpsbgstnmnyhoursahpj,1
101,pwwchidmcqvdmumwtpztdnmkptsxlk,0
102,gghstlnvwzcseetnbyclvhzyjsauwa,1
103,ihfxtdjhbxpffpfyebyynaxverulig,0
104,htsvnzwgtxscmognnjebqhurkmsici,0
105,aioqvvipxacovsdmerdmpnnkywerww,0
106,ayepbplqicuxmsyzzxfzvnfojughmr,0
107,ujbdrmsbslrcigarnzwcisiqmstore,1
108,ilcqlmwpomesixivtfiypwcqckvdvi,0
109,uzcljyxiksmdtuvbfwvmcyhwqtbzni,0
110,ghtzuxfvocixqkkexlvdgftrajcofz,0
111,mldkydkgviscbwnpcpjsvjtpdfuwbk,0
112,iokyxywzqgvxpaqfbqglunchcmkwpb,1
113,bjpuskdvbljgkyygmewmtvbxsiwsee,0
114,kfrtpscounterecftqkbifpjpbyfkc,1
115,umdfsvtwlxuaxapcqklmyqtxrtreho,0
116,eeqyuncwcfjnaogiijcpvbgyxsfbmg,0
117,meaxjjmajorityrvgjmrdoorsmejan,1
118,tzrmwnuavjebklczuiemypsyvmyqal,0
119,ysfsbkcpdsotkijlwbyyzbvwfatmhn,0
120,wpteofsfkqwbelongedjxwurmkpkii,1
121,rvpeinpubgysgtnrkxswouvzobmrza,0
122,kzypdxpqcpojlfhttzprlancshhbqv,0
123,bmqqtnnbusinessbxotejabddvgpzh,1
124,cqqvvzyrbqpaalqjmfgqrviulelpla,0
125,cesgyxnbupcjznfmykxjzomyazioil,0
126,ghswdqlbabszumbfxdqmgyfhsrnmha,0
127,dcqplyqqqdmotkphlzfglongdxqbji,1
128,cmfadshmxaaptsnhcurxewobeenccq,1
129,jxdzomfbifwgodtudilhnqwtlcpeav,0
130,dugfanbjjgnvzkmodaxpclosedynti,1
131,smsjmidwayqvddbmzbquwruiiqitoo,1
132,iovtgmxrtgifxakbtqyzmejykgmprf,0
133,dgmswpnpxzhdyvxwvwhqpupnzdqqan,0
134,blockybpqlmihcwxgamfsxisnozpol,1
135,icemanrysavvccmyosinipawjpedod,0
136,kzswqbwcelzqpburqaybdsuddenlyb,1
137,mctaqctgdutxrxrkwazmtblljmteqx,0
138,fpagyedpslowedejhrsbwvkykpoyvz,1
139,ryppghwcicleaohjebchzcsjmozbuh,0
140,bbqjqjcwowalkeckxmhtmygybsdvbx,1
141,wxzvbcihddsswlgsgnkqudheweelqi,0
142,ayogrvuvrmfpyvkpdoorwaynfyjboh,1
143,xjhunwnuablgewguxdnkmbjmtjpkjf,0
144,quomqluwsslafbkuhmqwmyjmqbkwod,0
145,arkenedocwzwbnamsstiqmkhyvrqbr,0
146,zaunktiynqatumszcyjcwbbbjodbha,0
147,rdwareaxogaegqcpjbngklnhtxhmce,0
148,cqundclrubwcdmgomzaroiwowtcroy,0
149,syrfqockagqxxjgstorefplfrzcuwe,1
150,nemrpwutosfihvzhunypmvkqsjrsmw,0
151,zqpwkvizaafyzpdkgsknswiuzehfqz,0
152,liibncszksjgtdaxxttmrwpnxfshwm,0
153,anjhjlylemnjxcxeoiplvbymvtkldx,0
154,jfjdzzvqsxukhvlkhocfxburfdldfd,0
155,twwuvcypskcqmeykkholbndcmzbevc,0
156,jleanedgsuyxmkgypowqnaiffrpuxt,1
157,ddcpomjavljthbighluxudoojxorgi,0
158,dtddsieqqefypnzvlbywhorruwqlyf,0
159,mfzdowcziptrouieiunlightedfati,1
160,owxgjkxwqeqchbxglxpgrjylygqrzp,0
161,fuufvtuopjuzljhsrwcigarslikkor,1
162,hxhfkfknzwlsysvojcnztkzaecwmou,0
163,thutskzkziwjbedsajgtvpwokiihfz,0
164,vhbpolicemannqrkgftbdqybhljipv,1
165,bovpacublzzmtedpisddytopdovilp,0
166,oprujmkutxthbtftjrfbqsljtjglyd,0
167,nqywkrapfrlwalkedbunnctbgkxpws,1
168,hiwplspuwmxyeizyolzgpkfpbacmma,0
169,nlmacvxpqfkhkxkipfokyldlspoker,1
170,iwobpmnhrquicklyoesvisiftnhqof,1
171,ficerasyfhnmtlgixcudcueihrbado,0
172,mrdsrvkcfsxlhndxjfumryfetbnjgm,0
173,ithyglwbreassuringlyfgyyelprhk,1
174,bstishrgvenfosecjlkizmuamhvzuq,0
175,qrbpjegefdbpslemmbqwaitingeyup,1
176,mrfbjsywlsneixmzeeoroygprjecqh,0
177,logjivtsoxuyrgxbtcydimegrtfrie,0
178,ndylipercajwdpqltoacyotlftxanj,0
179,xlfwhrnxxbmwmebmburkjrwbyacizi,0
180,tzrpkacgpwqzexulgmvvbappointme,0
181,ntposivvawazorvihpghbmekdinckv,0
182,yhgvbkzsfipevsudokjkxcquoktltf,0
183,xsbscbrfrwjymuryqasmadeqxcdmjy,1
184,asajrnjhltwentytcciiznjwewyzah,1
185,ybemdnrxqqagzmxvihpnvldcuwjttj,0
186,mjcjoluvwzjrrsdybygwbaxgtcfrji,0
187,yyearsvgpolckwfqxvwbjpsmjffppu,1
188,pxnfakkjlpgabchsahmwedtqfrnard,0
189,uxmsgfmiiirbqwazagohdjuxnzotek,1
190,ezmotrtwjdepeywrgqbclolantxjjn,0
191,dmneudechxfvjjnhajjwfffaiylsqc,0
192,jcnnyasvwboepmmsndnwssyjrnsaso,0
193,undsmqlwhjbkpaymxsrksvcpdyrimy,0
194,zkosplqmrauoqvwazxybxedpwafucl,0
195,funnyhoqdszpasbtvzpofxkdrhxowi,1
196,iddoesntulluakkxoadpmmxrcqnbfb,1
197,vugsdmrwgxigzoejksqurvcxctqizu,0
198,jlbbbpurvfmremwldvhsmgqrinbatu,0
199,wexplainsnctsmakexdogostrkwefo,1
200,pjvkxodubnwndeycqmdvqimisqrzbe,0
201,xcqyjnbtefdtppxugyrazhupaxtmzl,0
202,nvpmpmmcstraightlszycwzxjhmfdo,1
203,itwepsmhhzevaxlovequgciferkxbd,0
