id,sequence,label
0,gdesdjqpltsgifpfpicleanwordsph,19
1,fkkzkkchapterysipgnuzwhphqrmlf,7
2,gurfgcspocwcpsorxgbentvmsfimch,19
3,mhztqghytsauntmloubupscxbnfzqw,11
4,mhmcowyiuvlqfxapnclockuyafafug,18
5,tjoelrqzqakiysoundedxeyqztoujq,14
6,nnocknzvbizapzmnfbgukdchurchuu,23
7,fsthjclockojuywiekhswnidaxntmf,6
8,kxswryxirjpzntdostraightwayjwd,17
9,mgidtiiastreetsvlyxgfchnrwbbdq,9
10,jamilltownyfrmjvefirygcwkgbllv,3
11,qoamqegqdmdfilledktjdpyipztews,12
12,hrdjldffhnwftjjsmenesqcsmacolr,17
13,oaybonwhlmtofbkbwomenbdquevkxt,17
14,djmjdjbwchildrenogwfgrajbemuch,9
15,eattoissuinggobqjtxifzelucidsv,6
16,jffrkjprgbrjuyvzaqjnknpgreatms,24
17,hwzlfwefornpywdfkrsmzvbrickgbl,23
18,rqcoxtifuutfactoriesijmspnkqay,12
19,zwscxkixpmqgkhuddledxvdmromkht,14
20,zvbsflrfctkmhtendbkidyoivvszzy,15
21,udkdtownkujoxzagtyfswrrhignvnv,5
22,jboysawkryfikbbecvutqzddswxnhc,2
23,bnjzizgwjuawakedihxjdiourpegvy,12
24,attcsghkyzqrwrpcompanyuacfsezk,16
25,oqjsjamesawwyjsuphhrfdfgqjonse,5
26,lqlwpgkhmiondgmxrnnfkwatsonsnv,22
27,ibenbvnzdyiryitkqerswlujkpljmx,2
28,edssfksfzsdvgbradforddtbccqezj,14
29,wywlintkcmdufbaqajvctagejmfxan,22
30,sqsjamesmwatnlpxpmgzeoeaifvlcu,4
31,swvhvhavingdphagybdnbjqquwnlva,6
32,sysrqsqceaseczpassedyzbwfsigve,15
33,lfhppggbhnbewpfifteenthrenqvzu,15
34,fujunaykjqbirthdayvozgszxoapki,11
35,vywidcjmbgxfykvfixybtrafbenpon,25
36,edjxnfubplfbzegbehavingswlmhnk,18
37,osggdfattainedfwxgzoylvhrlibdi,7
38,ubhchwyxvlkrgzdrxeseymboyspqre,23
39,mtquslookedkonjerqltxdvaoghwcz,6
40,ctwaloeuryiqqsoberwrjgnpkfndac,14
41,wblpijuxbappearaetavputkiznxmo,10
42,fewpconversationyrvqesuzikjadh,5
43,xeohrutxovvrthardsqtznbucmlpvq,14
44,qrwuscgudwrdjbbrligetucapgfjzo,19
45,vlkjobcpukrwdifzyolkmbxhjjfdvi,4
46,uleosacexsqaulsiqsitnwojamesxm,24
47,ihseimtcouldnevxmneubjwgbxjfhv,8
48,ngsargfdshmgymusuperintendentg,16
49,dvkwzvgpjlttdischargegvanqbxwv,13
50,oougxsmvcsupposeulcrfsuqzmhxak,10
51,xbebenmredkvtgoxqfwyyamxunzecl,4
52,fttnkiewgfuncfvayvhyhwskhavenk,25
53,ybtibclaimyupkmvohfxvjeknhcxbi,6
54,jpremainzhgyuoilpsuafqvciwnlbq,3
55,lrahaveulfokwpqumpogecikjyxdbq,4
56,tlsaiufjrqscqldvyadzbeeneucxuh,21
57,dfqivmillexztyijvdkwzloogeuhum,6
58,pesedgwqhzulucgcnlepslongeruew,22
59,rwhslkfufttunuwhtszpavzdoxdonv,27
60,fzkyurobbicmdlmjbelieveyriygae,17
61,zioecrhdischargingiqmvcangkqpd,8
62,pijyssrszfthgcomplainedgolwhft,14
63,dfntnvjjamesvjwrgxphftgeilcdpk,8
64,ieqpmpropmbutjkaowkdnplmhknowt,26
65,sywcebusinesskbhignsmtlyckpwpz,6
66,tezeelwtcmdulljfxfcmwleedrbtxg,11
67,mhrfbenncubgehflrzzpxjutycamxe,5
68,nbyjhlcnconsideratexmsbornkywg,9
69,qlkyzvdhxfhqpbxvnljbhearkivikn,21
70,vcbtqifpvyhavezrvevpnebfzaoksy,11
71,usfkcvgxbunjitbisqcxbeengqrkgx,21
72,kwbhdolaosnbimlosingwlxexihssh,15
73,baxetawyveoveatblmoneyjkrnvazc,18
74,mlpoqtgcimstandypkudltdhrckiyj,11
75,gxgvwbdiuplnymvbmipimjameshasf,22
76,usytbgpcrmzeuidxxrbenizlntpgjb,19
77,fnifathergojptmbcqulzhexavqjsn,4
78,xdyfahboyprettysyuopkqtnacwreo,10
79,wrbzpkmmwbpwonlnuadvhufsgloqqm,12
80,tblvofsufferrebcuxoliaqgsoezvz,7
81,epzggcohegmvqjibhavenbempakxcu,17
82,paxolgjotqfndhhjlxtoeatjgjwgxs,21
83,zkrashanfpwxoozhliuegsgqpltmmv,5
84,uxcqvdizgrlkmnlrkmmjdtabhaverr,25
85,ozcddehjgspendingtkgeiwvlqjmhx,10
86,xdovaobljtmoneyxeauhwndvcblozw,11
87,aftqgetyhpyrzesknjmmdkliwogagu,5
88,ffvknpfuzhigncfftsuitipsonvygx,18
89,eplvoxjwthgjcvjeumigvexpectedi,22
90,vlycmxydgaevffallzbxqrbgoveush,14
91,ffectgplyprahadepixxdfhqlgbzjt,13
92,zfearvipxgiknaqvzmeyfuyjcbhjwt,2
93,rymlqcwukonclzuqbenjxodtcjfwmb,17
94,oatlrnfdoaakknowsieqxiujbjkwbe,13
95,rpydongefaqsinuopltlyxjaxumsdr,4
96,exlxczzzptyseeklnxjeyqpjuvznda,12
97,uifauntrfpaupeayvzbgchcxnidejl,4
98,ufqhxgjaneirhhltgkfrdybmwjeaxf,7
99,upmfrtlehtsgoingbistwuupyrzqds,12
100,jpqcrvryfexubjljolyqsgetmjfzbi,22
101,nnvktocearningsaetqzgghxakjhwd,8
102,jhkmgipxuodcypsillqhsxyjmbvezw,17
103,nyeewwrggcdrqwqodtkgetjmqlbgjw,20
104,sfutumqzlhsdwifjamescbwqvmsgad,16
105,ysxvsuctukcarelesslyngxkfpozai,11
106,rgptrjtgsdiszdwkvqrclocarelqxm,23
107,pcpwyemibepeopleuynjsqugwpojgd,11
108,nkvprospectsrxfhmcrcaqejoxovib,4
109,hniynziodiscusskzluoxjsnlsaqog,9
110,wlsruezhvoirzbjliguessqghbfvzo,18
111,xukdsbesmxsbgpubenfoybkxmjlbxi,16
112,vidcheerfullyfcmyugyrrhdoltluc,4
113,pvhimrwfeqpklpxzktworryingxdyz,19
114,ofqmczrwnmgybxfpkpswaitumiwyde,20
115,nmehopehmuewkywtpgvyjhovccnres,4
116,fmottogdnlychxmrmfthjztljfeeor,2
117,ckhaveboimnfhjurcytnzlyqaeuvep,3
118,tubawaitljcnhwyporlrhydxgkvnmb,5
119,kerseuooynonrpthunderinglgcihr,15
120,irblgxdzmavkbogpiczpxctlongxqn,24
121,pxgxnzrhhufdeayptimebfelnyiwof,17
122,kbsijamespyhrufhozqsmciqnnstwz,5
123,gojndoivqdhvuqmvlzgoodbdorjvlj,19
124,lkagjckkwnighthxtvgylszmgtiqmd,10
125,qvonywdwdgmwwxzwtztbwlroundbxn,23
126,igracseeeuwnlmxkawckrepvcfbsho,6
127,jrwlawryksphhjmorrowjdxwtknfes,15
128,sftkeagtcuwsaizllzsfmxdhilkvmy,16
129,gqklebxpsjgweyidmhavefamwkvrnb,18
130,tygquxplentypdxpqoujogubawtlck,7
131,bpjyldyktimepygernbhqvhrspjgad,9
132,aldonhluudszqzivowqhwfkgandatb,3
133,daknowaczvqjxduftlvcbanyfrelyh,3
134,zvkoplniyqhddgvhcmuwslookkltya,22
135,uqzgmjioycltqcgqzshanqppruobcr,18
136,gmhsvgoingjshvzxwmbnagcbdlcvft,6
137,ewaitzketcktangrnluafdmsmzfeip,2
138,mqdvpcqorhpqtplhulvnqhubtillqk,25
139,qsuperintendentlwtdukkyvqbcecx,2
140,ntakesptpuibcqmqloruhszkdteghn,2
141,cemzzcomfortalxexvqawojrlydrcg,6
142,lssvwlnkxlmubhlieiyuhmgqednksh,15
143,bkzkumnjlhhnabedorxtlkvlzbfaon,13
144,ihegxgwffoaaoswhlongiruhzhcoeo,17
145,hkpnforcnsnhlgwantjgsyrvkupoit,15
146,ogpogntzmjokuctawuuzwonomkznwb,21
147,mngwbmrzcftmvchjwfdmidhtiedekp,24
148,iiesmlrjfhkicwnxgrcrtkfactoryl,23
149,boevnknfjrbellltnprwzlaejhtexm,11
150,lwpcedqsyvnzdluxrahouseqvcvdnb,19
151,dcyyasxybkmcodcjamesbydhsglvje,16
152,wctrsjdyfmzxcqkenteredcnmexvui,16
153,kfawmpqsahrqdclkhgoodtkyhlvnew,18
154,ysmzbsklasizedfgactzuyeovugdhp,10
155,ndpuvlrrartkstoryrbcirqukpwfgw,13
156,swiowpuyhousepkcplguebvietszqi,9
157,xrrwrbwieilcilwpwamplerrphtoid,18
158,eeapyafcnfuyardchwqqrjedsbamzr,12
159,mzugardenlylxzembniiwvcuwraxas,4
160,tlvaqlpgjwxxognuyuyfatheravbsj,20
161,xolieskeptsjvqrfpgjswidkboqyha,7
162,gbqizbljvdhgsodryiepmkrmgsnqsy,15
163,vrbaggogoodshwdkbngiznytuwxqco,8
164,eptsytedxbzyqyctacdkwwvstorekx,24
165,jkgdumilltowneohjmqvwwsfpnuizt,6
166,xbornspkegulpwygenerallyhyoqcf,16
167,gssyojvbedsmyxqkconsideredrkdc,17
168,uusjdgvmiswidhkounqojamesxbyju,21
169,xigznwentereduyfmnmdtvxiphpjus,7
170,ovsacjyzkmillgrbfwowpvbmqckhxo,10
171,sufbecauseorkgpaxzeedfiwpdvqnj,4
172,fyolegksvswqpdobligedadtcvtrvq,15
173,gdnxmpqcfozhudiybecauseepsaskt,17
174,aibwmvmotltwantedgqgtepkbsnmcv,12
175,egrpchapsgnhsrofahavevuhybadlm,18
176,dysupplygjslymrlvexnptqgctnaif,3
177,tioqrumoneyzwukbwhjpaclqytedvs,7
178,cuovgnoxflcqmqtgspocketgfptfmc,18
179,acnnpybgghdllpuofatheriqngfmsy,17
