,cleanwords
0,chapter
1,ben
2,aunt
3,clock
4,sounded
5,church
6,clock
7,straightway
8,streets
9,milltown
10,filled
11,men
12,women
13,children
14,issuing
15,great
16,brick
17,factories
18,huddled
19,end
20,town
21,boys
22,waked
23,company
24,james
25,watson
26,ben
27,bradford
28,age
29,james
30,having
31,passed
32,fifteenth
33,birthday
34,ben
35,having
36,attained
37,boys
38,looked
39,sober
40,appear
41,conversation
42,hard
43,get
44,job
45,james
46,couldn
47,superintendent
48,discharge
49,suppose
50,ben
51,haven
52,claim
53,remain
54,have
55,been
56,mill
57,longer
58,don
59,believe
60,discharging
61,complained
62,james
63,know
64,business
65,dull
66,ben
67,considerate
68,hear
69,have
70,been
71,losing
72,money
73,stand
74,james
75,ben
76,father
77,pretty
78,won
79,suffer
80,have
81,eat
82,shan
83,have
84,spending
85,money
86,get
87,suit
88,expected
89,fall
90,had
91,fear
92,ben
93,know
94,don
95,see
96,aunt
97,jane
98,going
99,get
100,earnings
101,ll
102,get
103,james
104,carelessly
105,care
106,people
107,prospects
108,discuss
109,guess
110,ben
111,cheerfully
112,worrying
113,wait
114,hope
115,motto
116,have
117,wait
118,thundering
119,long
120,time
121,james
122,good
123,night
124,round
125,see
126,morrow
127,ll
128,have
129,plenty
130,time
131,don
132,know
133,look
134,shan
135,going
136,wait
137,till
138,superintendent
139,takes
140,comfort
141,lie
142,abed
143,long
144,want
145,won
146,tied
147,factory
148,bell
149,house
150,james
151,entered
152,good
153,sized
154,story
155,house
156,ample
157,yard
158,garden
159,father
160,kept
161,dry
162,goods
163,store
164,milltown
165,generally
166,considered
167,james
168,entered
169,mill
170,because
171,obliged
172,because
173,wanted
174,have
175,supply
176,money
177,pocket
178,father
179,allowed
180,retain
181,wages
182,requiring
183,purchase
184,clothes
185,paid
186,dollars
187,week
188,james
189,clothe
190,half
191,income
192,reserve
193,rest
194,spending
195,money
196,fond
197,amusements
198,circus
199,concert
200,entertainment
201,milltown
202,patronize
203,ben
204,kept
205,till
206,reached
207,small
208,house
209,aunt
210,lived
211,had
212,been
213,home
214,parents
215,died
216,years
217,age
218,years
219,mr
220,reuben
221,bradford
222,uncle
223,died
224,family
225,had
226,been
227,supported
228,chiefly
229,ben
230,wages
231,mill
232,aunt
233,got
234,sewing
235,earnings
236,comparatively
237,small
238,thing
239,ben
240,dreaded
241,aunt
242,loss
243,employment
244,knew
245,apt
246,despondent
247,news
248,undoubtedly
249,depress
250,ben
251,sanguine
252,cheerful
253,temperament
254,ready
255,look
256,bright
257,side
258,bright
259,side
260,cousin
261,tony
262,years
263,ran
264,meet
265,makes
266,late
267,ben
268,asked
269,late
270,tony
271,answered
272,ben
273,taking
274,fellow
275,hand
276,half
277,past
278,clock
279,supper
280,been
281,ready
282,quarter
283,hour
284,see
285,tony
286,hungry
287,has
288,made
289,tired
290,waiting
291,wanted
292,home
293,pleasanter
294,home
295,glad
296,company
297,good
298,evening
299,aunt
300,jane
301,good
302,evening
303,ben
304,sit
305,table
306,wait
307,till
308,ve
309,washed
310,hands
311,aunt
312,home
313,mr
314,watson
315,made
316,longer
317,have
318,heard
319,news
320,ben
321,asked
322,thinking
323,aunt
324,had
325,heard
326,discharge
327,factory
328,hands
329,answer
330,satisfied
331,had
332,butter
333,cent
334,higher
335,pound
336,mrs
337,bradford
338,declare
339,things
340,seem
341,going
342,time
343,thirsty
344,cents
345,pound
346,seems
347,sinful
348,ask
349,price
350,wasn
351,worst
352,thought
353,ben
354,afraid
355,twenty
356,cents
357,hard
358,pay
359,butter
360,don
361,get
362,guess
363,won
364,aunt
365,jane
366,till
367,supper
368,ben
369,decided
370,good
371,cup
372,tea
373,won
374,make
375,feel
376,low
377,spirited
378,ate
379,supper
380,chatting
381,merrily
382,cousin
383,time
384,had
385,mind
386,aunt
387,smiled
388,time
389,time
390,nonsense
391,catching
392,contagion
393,cheerfulness
394,split
395,wood
396,ben
397,mrs
398,bradford
399,hero
400,rose
401,supper
402,table
403,ve
404,had
405,ironing
406,afternoon
407,takes
408,fuel
409,faster
410,aunt
411,jane
412,ben
413,guess
414,ll
415,wait
416,till
417,ve
418,finished
419,wood
420,telling
421,thought
422,ben
423,won
424,worse
425,tony
426,woodshed
427,keep
428,company
429,aunt
430,prepared
431,clear
432,supper
433,dishes
434,had
435,scarcely
436,commenced
437,knock
438,heard
439,door
440,visitor
441,proved
442,mrs
443,perkins
444,great
445,aunt
446,james
447,watson
448,inveterate
449,gossip
450,great
451,delight
452,carry
453,news
454,house
455,mrs
456,bradford
457,began
458,passin
459,thought
460,minute
461,glad
462,see
463,mrs
464,perkins
465,won
466,have
467,cup
468,tea
469,fact
470,ve
471,took
472,tea
473,nephew
474,watson
475,heard
476,news
477,couldn
478,comin
479,round
480,sympathizin
481,sympathizing
482,asked
483,mrs
484,bradford
485,amazed
486,general
487,principles
488,felt
489,stood
490,sympathy
491,visitor
492,tone
493,seemed
494,hint
495,ain
496,haven
497,heard
498,news
499,ejaculated
500,mrs
501,perkins
502,feeling
503,luck
504,have
505,power
506,communicate
507,important
508,intelligence
509,had
510,heard
511,hope
512,isn
513,ben
514,mrs
515,bradford
516,alarmed
517,benjamin
518,answered
519,mrs
520,perkins
521,nodding
522,tantalizing
523,manner
524,hasn
525,got
526,scrape
527,has
528,hasn
529,wrong
530,has
531,asked
532,aunt
533,jane
534,startled
535,poor
536,child
537,sighed
538,lady
539,wust
540,ain
541,has
542,because
543,won
544,have
545,mercy
546,sakes
547,mrs
548,perkins
549,hasn
550,benjamin
551,told
552,lost
553,place
554,factory
555,truth
556,mrs
557,perkins
558,asked
559,mrs
560,bradford
561,turning
562,pale
563,business
564,dull
565,fifty
566,men
567,boys
568,have
569,been
570,turned
571,james
572,watson
573,benjamin
574,ben
575,told
576,faltered
577,mrs
578,bradford
579,heaven
580,knows
581,guess
582,ll
583,get
584,someway
585,mrs
586,perkins
587,complacently
588,affected
589,having
590,sufficient
591,property
592,live
593,going
594,lady
595,anxious
596,reach
597,neighbor
598,report
599,poor
600,mrs
601,bradford
602,took
603,don
604,worried
605,lord
606,provide
607,afraid
608,starve
609,thought
610,mrs
611,bradford
612,mournfully
613,opened
614,shed
615,door
616,ben
617,truth
618,ve
619,lost
620,place
621,mill
622,aunt
623,answered
624,ben
625,told
626,mrs
627,perkins
628,didn
629,hurry
630,bad
631,news
632,aunt
633,afraid
634,ll
635,have
636,go
637,poorhouse
638,aunt
639,jane
640,sighing
641,ll
642,see
643,wait
644,hope
645,aunt
646,motto
647,mrs
648,bradford
649,shook
650,heard
651,mournfully
652,don
653,mind
654,thinking
655,tony
656,tony
657,coming
658,lots
659,ways
660,making
661,money
662,aunt
663,wait
664,hope
665,chapter
666,ii
667,situations
668,going
669,explain
670,bradfords
671,situated
672,begin
673,had
674,rent
675,pay
676,small
677,house
678,lived
679,belonged
680,bachelor
681,uncle
682,mrs
683,bradford
684,living
685,montreal
686,required
687,pay
688,taxes
689,amounted
690,twelve
691,dollars
692,year
693,ben
694,had
695,earned
696,factory
697,dollars
698,week
699,aunt
700,averaged
701,readers
702,seem
703,remarkable
704,persons
705,live
706,clothe
707,dollars
708,week
709,mrs
710,bradford
711,good
712,manager
713,had
714,found
715,problem
716,difficult
717,question
718,promised
719,become
720,difficult
721,ben
722,found
723,family
724,reduced
725,dollars
726,week
727,live
728,comfortably
729,small
730,sum
731,appal
732,skilful
