id,label
0,21
1,6
2,21
3,6
4,10
5,16
6,4
7,21
8,6
9,6
10,12
11,15
12,16
13,6
14,21
15,15
16,6
17,21
18,15
19,6
20,6
21,15
22,6
23,12
24,21
25,12
26,21
27,6
28,16
29,6
30,4
31,15
32,6
33,21
34,10
35,21
36,6
37,6
38,12
39,16
40,15
41,21
42,4
43,6
44,12
45,21
46,21
47,16
48,10
49,12
50,15
51,6
52,16
53,6
54,12
55,6
56,15
57,12
58,12
59,15
60,15
61,6
62,15
63,6
64,6
65,6
66,6
67,6
68,16
69,22
70,6
71,15
72,21
73,4
74,21
75,16
76,12
77,15
78,6
79,6
80,12
81,15
82,12
83,16
84,16
85,6
86,15
87,6
88,21
89,6
90,21
91,6
92,12
93,10
94,15
95,6
96,6
97,10
98,21
99,21
100,12
101,21
102,12
103,15
104,16
105,10
106,6
107,12
108,10
109,6
110,12
111,15
112,12
113,6
114,12
115,21
116,16
117,21
118,6
119,6
120,6
121,6
122,16
123,6
124,16
125,16
126,12
127,6
128,6
129,6
130,12
131,6
132,6
133,6
134,12
135,6
136,10
137,5
138,6
139,15
140,10
141,6
142,6
143,6
144,6
145,21
146,12
147,16
148,6
149,15
150,21
151,21
152,16
153,16
154,12
155,6
156,10
157,21
158,6
159,6
160,12
161,6
162,21
163,12
164,12
165,21
166,15
167,6
168,15
169,6
170,16
171,15
172,10
173,12
174,6
175,6
176,15
177,3
178,15
179,4
180,16
181,6
182,12
183,12
184,6
185,6
186,6
187,10
188,6
189,6
190,5
191,15
192,10
193,15
194,16
195,6
196,12
197,15
198,10
199,15
200,4
201,6
202,6
203,12
204,6
205,12
206,6
207,10
208,10
209,12
210,21
211,6
212,16
213,6
214,16
215,12
216,4
217,6
218,21
219,6
220,6
221,15
222,21
223,15
224,21
225,12
226,6
227,6
228,6
229,6
230,6
231,21
232,16
233,12
234,15
235,6
236,6
237,6
238,6
239,6
240,6
241,15
242,10
243,6
244,6
245,12
246,6
247,6
248,6
249,17
250,21
251,15
252,15
253,6
254,21
255,6
256,12
257,3
258,21
259,12
260,6
261,12
262,15
263,6
264,15
265,21
266,21
267,15
268,21
269,6
270,12
271,6
272,12
273,6
274,15
275,15
276,21
277,15
278,6
279,21
280,6
281,21
282,21
283,6
284,12
285,6
286,6
287,15
288,15
289,6
290,6
291,6
292,6
293,12
