id,label
0,21
1,4
2,18
3,5
4,8
5,19
6,21
7,21
8,5
9,7
10,4
11,13
12,8
13,7
14,18
15,11
16,7
17,19
18,21
19,10
20,5
21,16
22,3
23,13
24,19
25,19
26,21
27,4
28,16
29,19
30,7
31,18
32,18
33,21
34,10
35,21
36,22
37,10
38,16
39,16
40,16
41,18
42,21
43,11
44,8
45,10
46,9
47,13
48,13
49,18
50,4
51,8
52,21
53,11
54,18
55,21
56,16
57,19
58,16
59,13
60,26
61,7
62,4
63,4
64,16
65,8
66,3
67,22
68,23
69,4
70,8
71,16
72,13
73,10
74,10
75,18
76,4
77,13
78,4
79,4
80,16
81,18
82,16
83,18
84,3
85,4
86,19
87,9
88,21
89,4
90,16
91,5
92,8
93,7
94,19
95,7
96,7
97,8
98,10
99,15
100,8
101,7
102,18
103,18
104,18
105,18
106,8
107,8
108,13
109,10
110,13
111,18
112,16
113,4
114,19
115,16
116,18
117,18
118,5
119,5
120,8
121,13
122,16
123,8
124,11
125,18
126,16
127,21
128,7
129,4
130,19
131,22
132,4
133,7
134,13
135,18
136,8
137,11
138,21
139,10
140,7
141,10
142,19
143,4
144,4
145,22
146,9
147,22
148,7
149,4
150,19
151,19
152,18
153,13
154,16
155,6
156,8
157,21
158,21
159,7
160,12
161,19
162,18
163,7
164,10
165,4
166,19
167,22
168,16
169,16
170,10
171,7
172,6
173,8
174,8
175,4
176,18
177,21
178,18
179,8
180,10
181,7
182,17
183,7
184,5
185,18
186,18
187,18
188,4
189,10
190,18
191,5
192,13
193,7
194,13
195,22
196,13
197,7
198,8
199,18
200,4
201,5
202,7
203,13
204,10
205,21
206,4
207,10
208,18
209,16
210,23
211,9
212,7
213,10
214,16
215,8
216,13
217,7
218,22
219,13
220,7
221,16
222,4
223,19
224,21
225,13
226,16
227,3
228,4
229,4
230,22
231,16
232,18
233,19
234,16
235,10
236,4
237,18
238,8
239,8
240,8
241,18
242,3
243,8
244,18
245,10
246,8
247,7
248,4
249,18
250,19
251,10
252,8
253,9
254,21
255,6
256,18
257,21
258,21
259,13
260,4
261,16
262,13
263,8
264,22
265,18
266,13
267,13
268,23
269,13
270,16
271,7
272,22
273,18
274,19
275,11
276,21
277,10
278,8
279,19
280,8
281,13
282,18
283,3
284,7
285,8
286,4
287,16
288,18
289,8
290,18
291,4
292,6
293,19
294,16
295,18
296,13
297,7
298,8
299,7
300,16
301,16
302,8
303,19
304,8
305,21
306,16
307,4
308,5
309,5
310,16
311,19
312,13
313,21
314,18
315,8
316,4
317,11
318,18
319,8
320,13
321,8
322,16
323,16
324,18
325,19
326,18
327,7
328,7
329,16
330,19
331,5
332,18
333,22
334,5
335,18
336,21
337,21
338,13
339,18
340,8
341,7
342,4
343,19
344,19
345,15
346,16
347,21
348,7
349,16
350,16
351,16
352,4
353,7
354,7
355,22
356,5
357,18
358,7
359,7
360,5
361,4
362,5
363,16
364,8
365,7
366,21
367,7
368,4
369,5
370,10
371,18
372,18
373,3
374,4
375,16
376,21
377,16
378,22
379,13
380,10
381,8
382,16
383,8
384,13
385,4
386,8
387,21
388,7
389,13
390,7
391,21
392,8
393,16
394,4
395,22
396,7
397,22
398,11
399,9
400,5
401,10
402,4
403,19
404,21
405,13
406,7
407,4
408,26
409,10
410,8
411,8
412,18
413,16
414,4
415,12
416,9
417,19
418,8
419,12
420,16
421,16
422,5
423,18
424,21
425,6
426,18
427,16
428,11
429,8
430,21
431,18
432,16
433,18
434,21
435,18
436,7
437,19
438,4
439,16
440,18
441,18
442,18
443,22
444,7
445,19
446,18
447,11
448,21
449,7
450,13
451,21
452,18
453,21
454,22
455,21
456,17
457,7
458,7
459,8
460,7
461,7
462,19
463,16
464,8
465,16
466,7
467,21
468,18
469,16
470,13
471,3
472,7
473,16
474,19
475,6
476,8
477,8
478,13
479,21
480,13
481,7
482,5
483,17
484,8
485,21
486,19
487,4
488,8
489,3
490,10
491,9
492,8
493,5
494,16
495,21
496,7
497,8
498,18
499,5
500,16
501,8
502,22
503,16
504,18
505,16
506,19
507,16
508,11
509,3
510,21
511,7
512,4
513,4
514,4
515,21
516,13
517,8
518,3
519,3
520,5
521,10
522,18
523,13
524,7
525,16
526,16
527,21
528,13
529,16
530,16
531,3
532,4
533,10
534,5
535,4
536,21
537,8
538,21
539,16
540,3
541,4
542,4
543,7
544,18
545,16
546,10
547,10
548,9
549,16
550,5
551,8
552,22
553,8
554,11
555,7
556,4
557,10
558,18
559,18
560,18
561,7
562,5
563,21
564,18
565,8
566,8
567,22
568,19
569,19
570,4
571,22
572,7
573,16
574,10
575,11
576,19
577,22
578,8
579,3
580,21
581,18
582,16
583,5
584,4
585,16
586,18
587,16
588,19
589,16
590,8
591,10
592,10
593,5
594,22
595,16
596,19
597,10
598,18
599,7
600,18
601,19
602,8
603,8
604,3
605,7
606,19
607,13
608,21
609,18
610,16
611,4
612,10
613,4
614,8
615,10
616,8
617,16
618,10
619,13
620,13
621,10
622,13
623,5
624,4
625,21
626,13
627,7
628,10
629,7
630,20
631,16
632,21
633,7
634,19
635,18
