id,sequence,label
0,gdesdjqpltsgifpfpicleanwordsph,28
1,fkkzkkchapterysipgnuzwhphqrmlf,13
2,gurfgcspocwcpsorxgbentvmsfimch,21
3,mhztqghytsauntmloubupscxbnfzqw,14
4,mhmcowyiuvlqfxapnclockuyafafug,22
5,tjoelrqzqakiysoundedxeyqztoujq,20
6,nnocknzvbizapzmnfbgukdchurchuu,28
7,fsthjclockojuywiekhswnidaxntmf,10
8,kxswryxirjpzntdostraightwayjwd,27
9,mgidtiiastreetsvlyxgfchnrwbbdq,15
10,jamilltownyfrmjvefirygcwkgbllv,10
11,qoamqegqdmdfilledktjdpyipztews,17
12,hrdjldffhnwftjjsmenesqcsmacolr,19
13,oaybonwhlmtofbkbwomenbdquevkxt,21
14,djmjdjbwchildrenogwfgrajbemuch,16
15,eattoissuinggobqjtxifzelucidsv,12
16,jffrkjprgbrjuyvzaqjnknpgreatms,28
17,hwzlfwefornpywdfkrsmzvbrickgbl,27
18,rqcoxtifuutfactoriesijmspnkqay,20
19,zwscxkixpmqgkhuddledxvdmromkht,20
20,zvbsflrfctkmhtendbkidyoivvszzy,17
21,udkdtownkujoxzagtyfswrrhignvnv,8
22,jboysawkryfikbbecvutqzddswxnhc,5
23,bnjzizgwjuawakedihxjdiourpegvy,16
24,attcsghkyzqrwrpcompanyuacfsezk,22
25,oqjsjamesawwyjsuphhrfdfgqjonse,9
26,lqlwpgkhmiondgmxrnnfkwatsonsnv,27
27,ibenbvnzdyiryitkqerswlujkpljmx,4
28,edssfksfzsdvgbradforddtbccqezj,21
29,wywlintkcmdufbaqajvctagejmfxan,24
30,sqsjamesmwatnlpxpmgzeoeaifvlcu,8
31,swvhvhavingdphagybdnbjqquwnlva,11
32,sysrqsqceaseczpassedyzbwfsigve,20
33,lfhppggbhnbewpfifteenthrenqvzu,23
34,fujunaykjqbirthdayvozgszxoapki,18
35,vywidcjmbgxfykvfixybtrafbenpon,27
36,edjxnfubplfbzegbehavingswlmhnk,23
37,osggdfattainedfwxgzoylvhrlibdi,14
38,ubhchwyxvlkrgzdrxeseymboyspqre,26
39,mtquslookedkonjerqltxdvaoghwcz,11
40,ctwaloeuryiqqsoberwrjgnpkfndac,18
41,wblpijuxbappearaetavputkiznxmo,15
42,fewpconversationyrvqesuzikjadh,16
43,xeohrutxovvrthardsqtznbucmlpvq,17
44,qrwuscgudwrdjbbrligetucapgfjzo,21
45,vlkjobcpukrwdifzyolkmbxhjjfdvi,6
46,uleosacexsqaulsiqsitnwojamesxm,28
47,ihseimtcouldnevxmneubjwgbxjfhv,13
48,ngsargfdshmgymusuperintendentg,29
49,dvkwzvgpjlttdischargegvanqbxwv,21
50,oougxsmvcsupposeulcrfsuqzmhxak,16
51,xbebenmredkvtgoxqfwyyamxunzecl,6
52,fttnkiewgfuncfvayvhyhwskhavenk,29
53,ybtibclaimyupkmvohfxvjeknhcxbi,10
54,jpremainzhgyuoilpsuafqvciwnlbq,8
55,lrahaveulfokwpqumpogecikjyxdbq,7
56,tlsaiufjrqscqldvyadzbeeneucxuh,24
57,dfqivmillexztyijvdkwzloogeuhum,9
58,pesedgwqhzulucgcnlepslongeruew,27
59,rwhslkfufttunuwhtszpavzdoxdonv,29
60,fzkyurobbicmdlmjbelieveyriygae,23
61,zioecrhdischargingiqmvcangkqpd,18
62,pijyssrszfthgcomplainedgolwhft,23
63,dfntnvjjamesvjwrgxphftgeilcdpk,12
64,ieqpmpropmbutjkaowkdnplmhknowt,29
65,sywcebusinesskbhignsmtlyckpwpz,13
66,tezeelwtcmdulljfxfcmwleedrbtxg,14
67,mhrfbenncubgehflrzzpxjutycamxe,7
68,nbyjhlcnconsideratexmsbornkywg,19
69,qlkyzvdhxfhqpbxvnljbhearkivikn,24
70,vcbtqifpvyhavezrvevpnebfzaoksy,14
71,usfkcvgxbunjitbisqcxbeengqrkgx,24
72,kwbhdolaosnbimlosingwlxexihssh,20
73,baxetawyveoveatblmoneyjkrnvazc,22
74,mlpoqtgcimstandypkudltdhrckiyj,15
75,gxgvwbdiuplnymvbmipimjameshasf,26
76,usytbgpcrmzeuidxxrbenizlntpgjb,21
77,fnifathergojptmbcqulzhexavqjsn,9
78,xdyfahboyprettysyuopkqtnacwreo,15
79,wrbzpkmmwbpwonlnuadvhufsgloqqm,14
80,tblvofsufferrebcuxoliaqgsoezvz,12
81,epzggcohegmvqjibhavenbempakxcu,20
82,paxolgjotqfndhhjlxtoeatjgjwgxs,23
83,zkrashanfpwxoozhliuegsgqpltmmv,8
84,uxcqvdizgrlkmnlrkmmjdtabhaverr,28
85,ozcddehjgspendingtkgeiwvlqjmhx,17
86,xdovaobljtmoneyxeauhwndvcblozw,15
87,aftqgetyhpyrzesknjmmdkliwogagu,7
88,ffvknpfuzhigncfftsuitipsonvygx,21
89,eplvoxjwthgjcvjeumigvexpectedi,29
90,vlycmxydgaevffallzbxqrbgoveush,17
91,ffectgplyprahadepixxdfhqlgbzjt,15
92,zfearvipxgiknaqvzmeyfuyjcbhjwt,5
93,rymlqcwukonclzuqbenjxodtcjfwmb,19
94,oatlrnfdoaakknowsieqxiujbjkwbe,16
95,rpydongefaqsinuopltlyxjaxumsdr,6
96,exlxczzzptyseeklnxjeyqpjuvznda,14
97,uifauntrfpaupeayvzbgchcxnidejl,7
98,ufqhxgjaneirhhltgkfrdybmwjeaxf,10
99,upmfrtlehtsgoingbistwuupyrzqds,16
100,jpqcrvryfexubjljolyqsgetmjfzbi,24
101,nnvktocearningsaetqzgghxakjhwd,15
102,jhkmgipxuodcypsillqhsxyjmbvezw,18
103,nyeewwrggcdrqwqodtkgetjmqlbgjw,22
104,sfutumqzlhsdwifjamescbwqvmsgad,20
105,ysxvsuctukcarelesslyngxkfpozai,20
106,rgptrjtgsdiszdwkvqrclocarelqxm,26
107,pcpwyemibepeopleuynjsqugwpojgd,16
108,nkvprospectsrxfhmcrcaqejoxovib,12
109,hniynziodiscusskzluoxjsnlsaqog,15
110,wlsruezhvoirzbjliguessqghbfvzo,22
111,xukdsbesmxsbgpubenfoybkxmjlbxi,18
112,vidcheerfullyfcmyugyrrhdoltluc,13
113,pvhimrwfeqpklpxzktworryingxdyz,26
114,ofqmczrwnmgybxfpkpswaitumiwyde,23
115,nmehopehmuewkywtpgvyjhovccnres,7
116,fmottogdnlychxmrmfthjztljfeeor,6
117,ckhaveboimnfhjurcytnzlyqaeuvep,6
118,tubawaitljcnhwyporlrhydxgkvnmb,8
119,kerseuooynonrpthunderinglgcihr,24
120,irblgxdzmavkbogpiczpxctlongxqn,27
121,pxgxnzrhhufdeayptimebfelnyiwof,20
122,kbsijamespyhrufhozqsmciqnnstwz,9
123,gojndoivqdhvuqmvlzgoodbdorjvlj,22
124,lkagjckkwnighthxtvgylszmgtiqmd,14
125,qvonywdwdgmwwxzwtztbwlroundbxn,27
126,igracseeeuwnlmxkawckrepvcfbsho,8
127,jrwlawryksphhjmorrowjdxwtknfes,20
128,sftkeagtcuwsaizllzsfmxdhilkvmy,17
129,gqklebxpsjgweyidmhavefamwkvrnb,21
130,tygquxplentypdxpqoujogubawtlck,12
131,bpjyldyktimepygernbhqvhrspjgad,12
132,aldonhluudszqzivowqhwfkgandatb,5
133,daknowaczvqjxduftlvcbanyfrelyh,6
134,zvkoplniyqhddgvhcmuwslookkltya,25
135,uqzgmjioycltqcgqzshanqppruobcr,21
136,gmhsvgoingjshvzxwmbnagcbdlcvft,10
137,ewaitzketcktangrnluafdmsmzfeip,5
138,mqdvpcqorhpqtplhulvnqhubtillqk,28
139,qsuperintendentlwtdukkyvqbcecx,15
140,ntakesptpuibcqmqloruhszkdteghn,6
141,cemzzcomfortalxexvqawojrlydrcg,12
142,lssvwlnkxlmubhlieiyuhmgqednksh,17
143,bkzkumnjlhhnabedorxtlkvlzbfaon,16
144,ihegxgwffoaaoswhlongiruhzhcoeo,20
145,hkpnforcnsnhlgwantjgsyrvkupoit,18
146,ogpogntzmjokuctawuuzwonomkznwb,23
147,mngwbmrzcftmvchjwfdmidhtiedekp,27
148,iiesmlrjfhkicwnxgrcrtkfactoryl,29
149,boevnknfjrbellltnprwzlaejhtexm,14
150,lwpcedqsyvnzdluxrahouseqvcvdnb,23
151,dcyyasxybkmcodcjamesbydhsglvje,20
152,wctrsjdyfmzxcqkenteredcnmexvui,22
153,kfawmpqsahrqdclkhgoodtkyhlvnew,21
154,ysmzbsklasizedfgactzuyeovugdhp,14
155,ndpuvlrrartkstoryrbcirqukpwfgw,17
156,swiowpuyhousepkcplguebvietszqi,13
157,xrrwrbwieilcilwpwamplerrphtoid,22
158,eeapyafcnfuyardchwqqrjedsbamzr,15
159,mzugardenlylxzembniiwvcuwraxas,9
160,tlvaqlpgjwxxognuyuyfatheravbsj,25
161,xolieskeptsjvqrfpgjswidkboqyha,10
162,gbqizbljvdhgsodryiepmkrmgsnqsy,17
163,vrbaggogoodshwdkbngiznytuwxqco,12
164,eptsytedxbzyqyctacdkwwvstorekx,28
165,jkgdumilltowneohjmqvwwsfpnuizt,13
166,xbornspkegulpwygenerallyhyoqcf,24
167,gssyojvbedsmyxqkconsideredrkdc,26
168,uusjdgvmiswidhkounqojamesxbyju,25
169,xigznwentereduyfmnmdtvxiphpjus,13
170,ovsacjyzkmillgrbfwowpvbmqckhxo,13
171,sufbecauseorkgpaxzeedfiwpdvqnj,10
172,fyolegksvswqpdobligedadtcvtrvq,21
173,gdnxmpqcfozhudiybecauseepsaskt,23
174,aibwmvmotltwantedgqgtepkbsnmcv,17
175,egrpchapsgnhsrofahavevuhybadlm,21
176,dysupplygjslymrlvexnptqgctnaif,8
177,tioqrumoneyzwukbwhjpaclqytedvs,11
178,cuovgnoxflcqmqtgspocketgfptfmc,23
179,acnnpybgghdllpuofatheriqngfmsy,22
180,dpcufiallowedagpgsrqeooxytunmd,13
