id,sequence,label
0,mzcleanwordsnuvherpzlzjficmbjd,12
1,prchapterzpcanbfiahkljwdiukbrt,9
2,vzlqmanhadzqqouorpswlmabngiycb,7
3,ujqkkeptijgirotmxwpqvskzzehdkb,8
4,nnwdvtmlltmoneyfcvtbpxyudpzcro,15
5,iboxgdxavltbmrdzgftpynswobjice,4
6,axssbztmidsteevbzbkkfwqcdsydnr,12
7,atbxxrrravineaqauuztcepkfxwfdy,13
8,jgbtxwpkbfvtoswnewnmnmalazmdle,25
9,iktfyuqrpewdhinterchangedeofkn,25
10,girwordsvdnxpibxirftseluytjhzq,8
11,mbkdoogqifbppiwuhlokwifecklref,24
12,kgtirjruoeihospicehmocbvrkfhiy,18
13,rzacyipsyikgzntoptgvyqgbkfomjw,17
14,azoamaxighusplugenfbfaxkcnpvyi,18
15,edukrhcpkyyjkbecameznljepvmswb,19
16,fhyxdgvfteacquaintedsygsmiblou,20
17,rzdjtllgyqiwlcourtyardetxgszbw,22
18,jpconradmsyegbksqqdibpvneoumxk,8
19,uglvohoteluqromifuknkptpgdbdej,10
20,wlchiavennamyrarpyblcotnhikgko,11
21,sbellaggiorsakoidasdehixwoqzxl,10
22,dlakerarnoehemzmsiogwtxwbakxvi,5
23,taizxezsxgdkqfcomoojdigouvcefw,18
24,gsfzuduhytkzdnmmacquaintanceqm,28
25,lrhtbnprpripenedyebofnpmwwjmzt,16
26,vqdlufidmrfzeanaealintimacyzgq,27
27,cmgoodwapldygdetvsjrialpysxhfk,6
28,brqhtifprkfmyearshkzevuactybnx,17
29,alevlgkzbyucmnqwrhavewausqnzve,21
30,xyhjzhcxktqrolledqsmkalioglozj,17
31,lvgqzrbgbelieveohomwxkkfyzrjzi,15
32,ndxwzrqqibivhklmcjksrepisodesv,28
33,bitjwoqpzopypdlvlifeywookdjlpm,20
34,qimitycbqlgxzdshejkgnwkyctoldc,29
35,yjnyydtbnygcmcuwhbpainhnbipqlm,22
36,loujgwgzzjzdaatcfeelingsytkzek,24
37,vgoqvfsbwjpbztjpresentpsahtxgb,22
38,oqfcaygreenextjsynjneimzbhayrk,12
39,ngmfzuelearnedzwrsaforetgcjysf,14
40,cgwmxjzurobinsonkxfmsqehzqivnr,16
41,ldsbqjtmtjpgqbgqknowkfdolkeqmw,20
42,ynivfrememberevkiwilumplhdrguf,13
43,rtqccaddressedmvguodlcnxtefbpa,14
44,yjuchiavennajvqhkgeitmnrvcyrfu,12
45,gtezwlsxooufobgotpaezmhlbzgxke,16
46,tstbackkowtrcvdilsqwfocaudpfqx,7
47,jhziwqushsdarlamomentdjxsincqb,21
48,ieckkxuxkrbllvbmalayxgeieqmdwx,19
49,hvbyrzwhadsekeudgwhbnkqusjzroh,10
50,cmbhqghoddwwceebeenzssvptkuqwr,19
51,vqwbmrrgfustayingbupgsrnkyizct,17
52,vhqhrggphiitdaysmvhimpzkbvxeld,16
53,kbmyhrvnpedwvcwplndnqfygoldenc,29
54,hqadeeaglekmwpyghljrazzisfcynu,10
55,jftsobtusispfnvkyzdzoampelrjhy,11
56,minfliahvcfafhxbyeqeehazkblpsc,18
57,uvqlgleajoscxshvxoholdapkbaonx,22
58,gzizmiducsgotmsmallnckuvlpojci,19
59,otoozginnazktluiptcesbgpswlecd,9
60,jlnpxhpnrqfmbpbtjswitzerlandlw,28
61,icdttxvsosxkfgkhostessxnjhzzwx,22
62,pfbofstymdxopcyiamtsfouhavepiq,27
63,ytxvkluxqdovqgptesbeenzurdhlkb,22
64,kkyhyhzehzxnprettiestdmqwlxkbl,21
65,cpptotpoyreoofgalandladybkcdsi,24
66,utiwwodstyqgmvhqdayndtgceojqiz,19
67,pygobkdtdudiyblgctdeparturelkn,27
68,ftuprodvphjiwfdbcisouthwardssp,28
69,rzcjpzgvwemkyjpxvhadwuudjnlzos,20
70,qolikzphnfmqwalkedjkidfsotnamj,18
71,lfmhbbhqmalavihwpkbgleuoezvqml,12
72,uavvdewbcdxnjcwtwwdiligencexye,27
73,kgwjjnlrkoravkaypickvifwxwouzl,20
74,tudjemrozgftmrbxzuqkqaqgorgelr,28
75,jmtmzaupnjqyyhbpeugdzsglpassgs,28
76,xqiqtmjmlbfapywuvycnrpregardjm,28
77,guqzxykrhrnmbqmmxxhstgrandestt,29
78,rcrspotsabhtmjwitpshvkerjkgoga,8
79,hueycrpbnpsuynwuwivwanderingna,28
80,fguoyefibtgcjqsrliecmbkrstepsy,29
81,boxhavehbdxhjdxrtburkjnalmqcuv,7
82,gaqlcarriedrifxcwytaqhejcmppjd,11
83,wcmwaknghadyqoifgshzrwbmvcjwrm,11
84,kqcnzeoxlsudxvlingeredrsediuwv,22
85,deghourshuxknwccogkfzzqtyfjriv,8
86,gwalkedybxzfywjrckedodqlmscslp,7
87,cuxcwvmbdicuedothitherghxbhaye,22
88,iimvrbshnkxwmpfarewellclwfvost,22
89,oaysfhzmwwsxzzbcvjhjidarkfswue,25
90,kcwfjctoweringrddpsyvatqfcxckw,14
91,prockswcjfngzsmedlwiigkrdhsaox,6
92,lejslbcvumnarrowdwavxmnqtyczng,16
93,hvobrxujzdpccausewaygjwnavgzui,20
94,ojvhqjeroaringhslnyjwtmpqxekwz,14
95,rbriverlcohypsvdngkckwgueqjpia,7
96,wtrustinglimenfbxchglsgwuweqhj,9
97,edfriendjqeznarosjvochgivbuwyr,8
98,cqxslandladyiblyuomdtvrwmtzjyk,12
99,niseeekawhmmjifooipebanjyqkcqd,5
100,ferhdglxeluggageyqkeujoicppzvf,16
101,fcwzrpcvyqbqhlfpbzhdharrkdulyv,29
102,lknhpnwutschmmgpbfbmpackedlifd,26
103,xyufjfwstknewsidiligencezsvjkb,24
104,xxcinifriendwhpfjmydlcrqtsxglz,12
105,dbetraynxqgkcuysdysnepztjudhgj,7
106,kaamjqzvkfallymlkvhslsgtrustlq,28
107,kbvkrythgoesyqjpbtkuqvdaghzmre,12
108,amnpbuscgpiffgvswitzerlandzttw,26
109,gdpvabjqxplxitalyqjkvbowfeyvdl,17
110,lndmzhiyrroadtecuhvsaykrvabdkg,13
111,qnbwmalafqnkwxlzsbigcsmywvmahr,8
112,srdxuavdmfexgabfascendsdkvqldt,23
113,seoqnvimhgfnvqdmysteeplytkashy,24
114,ttcoripmcpassengersngxpsiojcvi,19
115,emrvwbqibiuptediligencezwuocdg,23
116,fcwalkpilspmhdzzkihqqkxgtflfeo,6
117,zqatlapfinnglcfniyhadoqfnauevr,11
118,mkggxxiuuftusisjwnldemqrtcrpxy,15
119,wckirovcjwjiuorrgorgexdlozsnzf,21
120,abuzcspnedbmyjywhhrlmakesrdtvd,24
121,vwmjsjgoktsapdwwpagreaterijhve,25
122,lrsmxidxvparthzoaftnywlrmipjto,13
123,lzyibzpgnnravineduqpmbgqfcseay,16
124,qflagrmudcsqpxpymhmqvehicleipl,27
125,bmqarjkhidczuvwicvampovertaken,29
126,pmrshweufavvnbojdljktgcneyszpi,3
127,qfpzgreenenhaqtukvbfsnyxdooaqh,10
128,ioexirqsrgcosoisajdwvewifespjy,26
129,cedaughterqiwdqfzothnxalmgjwya,10
130,gdnvdownfxhqldneljefqxpqjhadrt,28
131,beswjyiuomittedlqmusxhebkenpwi,15
132,ofyozbkkcsbiattdiligencenlngbs,24
133,vsepxypassedycsudzajioplfbmnmf,12
134,gmeihjbmkbacfvkducofddefilecaq,27
135,dbyjhdknnzkolqhorsesteezgpkjlu,20
136,lzgqcottlermdutrottingyenknzhf,22
137,mxupiqqnbyardsgnbsgavqklwqpfku,14
138,ckynyqjweuvimwqwgssiufoqleveld,29
139,ropportionjrdnfzlmvagxhktlfawk,10
140,ysdxpsqfftnkpbaroadsbgamjgwbqj,19
141,oinjwfhhficibvujmanewtqoprngco,19
142,hlqrrwdrizwgsdgiwlxnoseyzfcqhn,23
143,lbtwqqhmmhugfpxacpresseduwbhnd,24
144,bclosewggoazfbxetyvnmdpjpilkra,6
145,wwvrjauhnsuvqcjpsglassmfdftnav,22
146,hcsraqmqojmkzsmcoupenodqewvmao,20
147,kkmkyaoluzoelemsuywindowksasvi,24
148,myevaxnztzarweujnoseqpcoblntui,20
149,olwkpykcpartdfinaldimmaoplgqwj,12
150,lwhpgpxzbgpunrfdakfekekffacekj,28
151,vckrbvqperceiveerzubyjtmyvocok,15
152,ylhhhvxijyjxtxubneckpekcxuvbnj,20
153,nyahppvoxqttwistedhijkirdzkftm,18
154,apcjeyejyfdoypakoilptxfnhwwnez,7
155,peoodpqqcbvoobkxazvupturnedblq,27
156,byollwyuwnzgmakingihuznjmvlybo,18
157,bjnldvijsmsvbthvrupainfulpzhko,25
158,bljucvgwapyfiyepeffortcudooiia,22
159,mqwetejmhyldykncobherlookzghws,25
160,yrpdedutepiqupwardsxfrhadmsdgz,19
161,hedasummitggqdphubeoljrrastmcz,10
162,ryrocksaqstvrkanmhjiyplgdnwxfe,7
163,kugoxzbuwzlrytgorsuobpositiona,29
164,ojocpqbjzpawgjacgqqinsidelszdt,25
165,pxdijtpqlvftbarilekapcarriagec,29
166,qdhrufblscyfsnjempmuxaroaraeyb,26
167,ewhhteawindwdvxbnomakujcjhhqip,11
168,fohzgdvzycqwatersrembuxcrnufon,17
169,fgjqdtojcgxspotprgzbkoqiwwccnf,15
170,ldfqmaspayjpracticablepihqueen,22
171,znsxaropsifddotlvaleaifspeakhv,28
172,lweugcicxwxmubeckonedgnrtydmuy,21
173,oqihdaahinhfingerdvilgcowxzfhs,17
174,fnjybruyyjibegcqqvdpointedteuk,26
175,tcjefyybbzvlfjzwhroadignkxuzpd,21
176,pfhbuindicatingibxgeloqpcawzwv,15
177,iglgnzgtsuupnnfthavevpiwwgvucf,20
178,dypfqlzlwalkedsboanjijcezslmtx,14
179,qqeojnarkkzmzmztjpkunderstooda,29
180,albybwrgftlfuyimomentupfnimhef,21
181,jinitbertleglunderstandbwwcjsu,23
182,eahljzjldrahglqamctansweringsg,28
183,aaepelgvajxgestureqfkovtzdeeoc,18
184,yzmyaosubsequentlyfsdatcbpuwdj,18
185,mqhhojfhpgsumvtlufknewjwstzulj,22
186,phabitsunkjjlgbqtpsyyehewgtnzv,7
187,kyrhctkanrexplainedoqprmhgvvto,19
188,fxwnxebpointingcktbrbmlgygstzq,15
189,lyjaopenouhlszedawpjpobsgfzrjd,8
190,altojecbqlbbcwpabgneumaomouthi,29
191,pdrpqmjymwdkhwtbpdwbrqruhhadaw,28
192,twazvwkcctlflzolintendedpbgygb,24
193,mcinnenrlgtsignifyasnrwkrfuwjl,18
194,tbbafraidnkdhakqnmaybczjgefsxm,9
195,duntkoxfsoreezugtbzmrwvvqfagxc,12
196,pthroatcsrqosxdetmcyijwituzaea,7
197,nrqdsjeviwfworjvwexposingvgrsh,25
198,tudufeeuuywshmdairdnuutqroiksf,18
199,gqknouaravhbzbjfpdampqzcbkirhy,21
200,tnarrowqbsmwyxacvhuitgjftpzwvg,7
201,jdvytcewhsbpassagesqehqwnbidgv,18
202,akefxzpzspiibzdsidfgugmbgotrdv,27
203,qljjqconductorzeolorgswdvlzehq,14
204,fmuffhdeympdeicoveredxtxbhagfw,21
205,veseatafefeyunvprkpsxqlhxzmsau,6
206,kieujbackpwechmnycazsyxdbzeujx,9
207,jfuoakssikmudiligencezjnagcrqk,21
208,lctawuhupositionjxewmcwyotbjpa,16
209,sqqnnugmsxhencounteredhxueogvw,22
210,aaxkljoxpbnmdriftingcuxyhjzvyl,20
211,wbnvpxpunbuyczyggxkanaecsnowxd,28
212,nnvycxnbsplugenuwpanrwhkajmxcm,15
213,loxteaxcoldestlytnlxdobofmckdf,14
214,tzloprywnyacqhzmgrpassesilhxtf,24
215,kketopytyapkdlmrbxzvzbjglpxriv,6
216,kkpassgtaeyiawkzeohscrjbyrlgvv,6
217,iglszujbplrazhcwsdiligenceqldf,26
218,woskheddqjcdqffcqaiwhsestopsot,28
219,asbodsuvrkkawhilerujtjofymrqso,17
220,fohkpfgswdzbkveremembervaizmuh,23
221,qxlcggklwukfznxjigkaustrianbox,27
222,aisahsjzppjgqftjxofficialsvapw,26
223,wlwtpfsygpiumydlfuhzdemandosab,26
224,npbygqbuiowhtravellersrdfqcipj,22
225,lvscchqvtvohnybapassportsnffgl,25
226,amnihzduxdayssbnegyfeptgubaawv,13
227,lmowhmxeginnlxmyyrofficialseqv,27
228,ccelhmhaveopihbtbykkqcwoszvrqs,10
229,vhqrztwtvauupooqezretreatedymi,27
230,vwjsyniquadrilatezdpxnsxblgtgw,17
231,gvrfavkehobhopegnrlzjcyxjfthss,15
232,dvimakekcztisfnypytbgmdnrohxxv,7
233,sulcrretreatvusbrizkxoxlyucnst,12
234,kxkdgfdistrictduuhvfcqscaniqoe,14
235,tzeljxtdwxjlskdbelongsevsiaogu,22
236,oixdagvkssoepffpfkingdomeaiury,24
237,bgnnipunitedvzxoaegklsutwibojw,12
238,rtqqqgquvbitalyfilmidvxqpnrzte,15
