id,sequence,label
0,mzcleanwordsnuvherpzlzjficmbjd,3
1,prchapterzpcanbfiahkljwdiukbrt,3
2,vzlqmanhadzqqouorpswlmabngiycb,5
3,ujqkkeptijgirotmxwpqvskzzehdkb,5
4,nnwdvtmlltmoneyfcvtbpxyudpzcro,11
5,iboxgdxavltbmrdzgftpynswobjice,2
6,axssbztmidsteevbzbkkfwqcdsydnr,8
7,atbxxrrravineaqauuztcepkfxwfdy,8
8,jgbtxwpkbfvtoswnewnmnmalazmdle,22
9,iktfyuqrpewdhinterchangedeofkn,14
10,girwordsvdnxpibxirftseluytjhzq,4
11,mbkdoogqifbppiwuhlokwifecklref,21
12,kgtirjruoeihospicehmocbvrkfhiy,12
13,rzacyipsyikgzntoptgvyqgbkfomjw,15
14,azoamaxighusplugenfbfaxkcnpvyi,12
15,edukrhcpkyyjkbecameznljepvmswb,14
16,fhyxdgvfteacquaintedsygsmiblou,11
17,rzdjtllgyqiwlcourtyardetxgszbw,14
18,jpconradmsyegbksqqdibpvneoumxk,3
19,uglvohoteluqromifuknkptpgdbdej,6
20,wlchiavennamyrarpyblcotnhikgko,3
21,sbellaggiorsakoidasdehixwoqzxl,2
22,dlakerarnoehemzmsiogwtxwbakxvi,2
23,taizxezsxgdkqfcomoojdigouvcefw,15
24,gsfzuduhytkzdnmmacquaintanceqm,17
25,lrhtbnprpripenedyebofnpmwwjmzt,10
26,vqdlufidmrfzeanaealintimacyzgq,20
27,cmgoodwapldygdetvsjrialpysxhfk,3
28,brqhtifprkfmyearshkzevuactybnx,13
29,alevlgkzbyucmnqwrhavewausqnzve,18
30,xyhjzhcxktqrolledqsmkalioglozj,12
31,lvgqzrbgbelieveohomwxkkfyzrjzi,9
32,ndxwzrqqibivhklmcjksrepisodesv,22
33,bitjwoqpzopypdlvlifeywookdjlpm,17
34,qimitycbqlgxzdshejkgnwkyctoldc,26
35,yjnyydtbnygcmcuwhbpainhnbipqlm,19
36,loujgwgzzjzdaatcfeelingsytkzek,17
37,vgoqvfsbwjpbztjpresentpsahtxgb,16
38,oqfcaygreenextjsynjneimzbhayrk,7
39,ngmfzuelearnedzwrsaforetgcjysf,8
40,cgwmxjzurobinsonkxfmsqehzqivnr,9
41,ldsbqjtmtjpgqbgqknowkfdolkeqmw,17
42,ynivfrememberevkiwilumplhdrguf,6
43,rtqccaddressedmvguodlcnxtefbpa,6
44,yjuchiavennajvqhkgeitmnrvcyrfu,4
45,gtezwlsxooufobgotpaezmhlbzgxke,15
46,tstbackkowtrcvdilsqwfocaudpfqx,4
47,jhziwqushsdarlamomentdjxsincqb,16
48,ieckkxuxkrbllvbmalayxgeieqmdwx,16
49,hvbyrzwhadsekeudgwhbnkqusjzroh,8
50,cmbhqghoddwwceebeenzssvptkuqwr,16
51,vqwbmrrgfustayingbupgsrnkyizct,11
52,vhqhrggphiitdaysmvhimpzkbvxeld,13
53,kbmyhrvnpedwvcwplndnqfygoldenc,24
54,hqadeeaglekmwpyghljrazzisfcynu,6
55,jftsobtusispfnvkyzdzoampelrjhy,7
56,minfliahvcfafhxbyeqeehazkblpsc,16
57,uvqlgleajoscxshvxoholdapkbaonx,19
58,gzizmiducsgotmsmallnckuvlpojci,15
59,otoozginnazktluiptcesbgpswlecd,7
60,jlnpxhpnrqfmbpbtjswitzerlandlw,18
