,cleanwords
0,mounted
1,officer
2,followed
3,orderlies
4,proceeding
5,brisk
6,trot
7,paris
8,st
9,denis
10,october
11,large
12,party
13,boys
14,armed
15,sticks
16,advancing
17,military
18,order
19,wall
20,top
21,low
22,hill
23,asked
24,lad
25,appeared
26,leader
27,playing
28,war
29,sir
30,advancing
31,fortress
32,la
33,motte
34,regiment
35,turenne
36,times
37,officer
38,asked
39,smile
40,hector
41,campbell
42,sir
43,french
44,sir
45,father
46,officer
47,scotch
48,regiment
49,killed
50,siege
51,la
52,rochelle
53,taking
54,care
55,live
56,angus
57,macintosh
58,sergeant
59,father
60,company
61,badly
62,wounded
63,la
64,rochelle
65,fit
66,service
67,took
68,cabaret
69,barracks
70,officers
71,kind
72,allow
73,sum
74,taking
75,care
76,course
77,barracks
78,have
79,learned
80,drill
81,have
82,heard
83,read
84,battles
85,sieges
86,chosen
87,command
88,know
89,battles
90,turenne
91,engaged
92,know
93,sir
94,holland
95,rhine
96,have
97,seen
98,plans
99,battles
100,course
101,la
102,motte
103,top
104,high
105,rock
106,turenne
107,ordered
108,attack
109,regiment
110,general
111,son
112,had
113,failed
114,had
115,pass
116,heavy
117,fire
118,huge
119,stones
120,enemy
121,hurled
122,grand
123,sieges
124,saverne
125,see
126,fought
127,stormed
128,place
129,swedes
130,good
131,soldiers
132,had
133,failed
134,going
135,greatest
136,captains
137,turenne
138,learner
139,art
140,war
141,gravely
142,has
143,learnt
144,rest
145,boy
146,boldly
147,soldiers
148,love
149,generals
150,takes
151,care
152,treat
153,dirt
154,feet
155,meant
156,obey
157,orders
158,go
159,get
160,killed
161,told
162,have
163,heard
164,praised
165,officer
166,quietly
167,young
168,man
169,older
170,advance
171,has
172,been
173,due
174,fortune
175,merits
176,don
177,boy
178,sturdily
179,lieutenant
180,general
181,twenty
182,soldiers
183,speak
184,fortune
185,look
186,captured
187,landrecies
188,solre
189,drove
190,austrians
191,back
192,maubeurge
193,aided
194,duke
195,weimar
196,thrash
197,weilenweir
198,stormed
199,main
200,fort
201,breisach
202,has
203,been
204,successful
205,enterprises
206,command
207,italy
208,things
209,have
210,been
211,going
212,badly
213,cardinal
214,have
215,chosen
216,had
217,considered
218,nthe
219,officer
220,laughed
221,young
222,sir
223,see
224,acquainted
225,sieges
226,battles
227,time
228,argue
229,sir
230,boy
231,confusion
232,soldiers
233,natural
234,boy
235,make
236,hero
237,wars
238,year
239,younger
240,fourteen
241,carried
242,musket
243,volunteer
244,maurice
245,nassau
246,years
247,battles
248,holland
249,raised
250,battery
251,opened
252,bois
253,le
254,duc
255,receive
256,pension
257,son
258,officer
259,killed
260,battle
261,sir
262,living
263,soldiers
264,have
265,go
266,months
267,pay
268,sons
269,dead
270,expect
271,thought
272,don
273,care
274,years
275,enlist
276,go
277,frontier
278,join
279,hepburn
280,scottish
281,brigade
282,french
283,service
284,fine
285,soldiers
286,officer
287,colonel
288,father
289,regiment
290,ask
291,commission
292,regiment
293,favour
294,cardinal
295,boy
296,replied
297,smile
298,protestant
299,eminence
300,colonel
301,man
302,ask
303,favours
304,refused
305,officer
306,clear
307,lad
308,spirit
309,have
310,prepare
311,profession
312,soldier
313,studying
314,military
315,history
316,hard
317,son
318,officer
319,died
320,battle
321,france
322,france
323,have
324,have
325,influence
326,cabaret
327,sergeant
328,macintosh
329,keeps
330,scottish
331,soldier
332,sir
333,gate
334,barracks
335,st
336,denis
337,go
338,tomorrow
339,afternoon
340,have
341,talk
342,assistance
343,nso
344,touched
345,horse
346,flank
347,heel
348,rode
349,boys
350,continued
351,play
352,afternoon
353,lad
354,remained
355,home
356,surprise
357,sergeant
358,keeps
359,today
360,hector
361,rare
362,indoors
363,afternoon
364,officer
365,playing
366,lad
367,asked
368,questions
369,told
370,had
371,influence
372,assist
373,sort
374,assistance
375,sergeant
376,grumbled
377,have
378,influence
379,get
380,pension
381,don
382,boy
383,enlist
384,volunteer
385,nthe
386,sergeant
387,laughed
388,volunteers
389,young
390,hector
391,cadets
392,noble
393,family
394,have
395,wait
396,couple
397,years
398,enlist
399,volunteer
400,nthere
401,good
402,scottish
403,soldiers
404,sitting
405,room
406,officer
407,rode
408,door
409,dismounted
410,general
411,officer
412,men
413,looking
414,window
415,door
416,opened
417,officer
418,entered
419,stood
420,saluted
421,sit
422,men
423,disturb
424,have
425,talk
426,sergeant
427,macintosh
428,have
429,room
430,sergeant
431,speak
432,privately
433,general
434,sergeant
435,saluting
436,led
437,room
438,generally
439,devoted
440,noncommissioned
441,officers
442,officer
443,caught
444,hector
445,eye
446,beckoned
447,follow
448,know
449,sergeant
450,general
451,viscount
452,turenne
453,nhector
454,gave
455,involuntary
456,exclamation
457,horror
458,thought
