,cleanwords
0,chapter
1,man
2,kept
3,money
4,box
5,midst
6,ravine
7,mala
8,interchanged
9,words
10,wife
11,hospice
12,top
13,splugen
14,became
15,acquainted
16,courtyard
17,conrad
18,hotel
19,chiavenna
20,bellaggio
21,lake
22,como
23,acquaintance
24,ripened
25,intimacy
26,good
27,years
28,have
29,rolled
30,believe
31,episode
32,life
33,told
34,pain
35,feelings
36,present
37,greene
38,learned
39,robinson
40,know
41,remember
42,addressed
43,chiavenna
44,go
45,back
46,moment
47,mala
48,had
49,been
50,staying
51,days
52,golden
53,eagle
54,tusis
55,bye
56,hold
57,small
58,inn
59,switzerland
60,hostess
61,have
62,been
63,prettiest
64,landlady
65,day
66,departure
67,southwards
68,had
69,walked
70,mala
71,diligence
72,pick
73,gorge
74,pass
75,regard
76,grandest
77,spots
78,wandering
79,steps
80,have
81,carried
82,had
83,lingered
84,hours
85,walked
86,thither
87,farewell
88,dark
89,towering
90,rocks
91,narrow
92,causeway
93,roaring
94,river
95,trusting
96,friend
97,landlady
98,see
99,luggage
100,duly
101,packed
102,diligence
103,friend
104,betray
105,trust
106,goes
107,switzerland
108,italy
109,road
110,mala
111,ascends
112,steeply
113,passengers
114,diligence
115,walk
116,inn
117,tusis
118,gorge
119,make
120,greater
121,part
122,ravine
123,vehicle
124,overtake
125,mr
126,greene
127,wife
128,daughter
129,had
130,omitted
131,diligence
132,passed
133,defile
134,horses
135,trotting
136,yards
137,level
138,portion
139,road
140,man
141,nose
142,pressed
143,close
144,glass
145,coupe
146,window
147,nose
148,part
149,face
150,perceive
151,neck
152,twisted
153,eye
154,upturned
155,making
156,painful
157,effort
158,look
159,upwards
160,summit
161,rocks
162,position
163,inside
164,carriage
165,roar
166,wind
167,waters
168,spot
169,practicable
170,speak
171,beckoned
172,finger
173,pointed
174,road
175,indicating
176,have
177,walked
178,understood
179,moment
180,understand
181,answering
182,gesture
183,subsequently
184,knew
185,habits
186,explained
187,pointing
188,open
189,mouth
190,had
191,intended
192,signify
193,afraid
194,sore
195,throat
196,exposing
197,air
198,damp
199,narrow
200,passage
201,got
202,conductor
203,covered
204,seat
205,back
206,diligence
207,position
208,encountered
209,drifting
210,snow
211,splugen
212,coldest
213,passes
214,top
215,pass
216,diligence
217,stops
218,awhile
219,remember
220,austrian
221,officials
222,demand
223,travellers
224,passports
225,days
226,officials
227,have
228,retreated
229,quadrilate
230,hope
231,make
232,retreat
233,district
234,belongs
235,kingdom
236,united
237,italy
238,place
239,refreshment
240,hospice
241,moments
242,friend
243,weak
244,throat
245,accompanied
246,ladies
247,have
248,missed
249,mala
250,stood
251,warming
252,toes
253,huge
254,covered
255,stove
256,miss
257,elder
258,ladies
259,younger
260,gentleman
261,older
262,companion
263,beautifully
264,mamma
265,younger
266,mamma
267,gave
268,head
269,toss
270,made
271,mind
272,thought
273,vengeance
274,long
275,step
276,daughter
277,observed
278,miss
279,greene
280,called
281,step
282,mother
283,mamma
284,approach
285,stranger
286,nature
287,connection
288,understood
289,observed
290,elder
291,lady
292,gave
293,head
294,toss
295,addressed
296,don
297,enjoy
298,till
299,get
300,lake
301,como
302,mr
303,greene
304,looked
305,cowering
306,stove
307,oppressed
308,great
309,coats
310,warm
311,wrappings
312,throat
313,agreed
314,had
315,begun
316,enjoy
317,got
318,places
319,greenes
320,till
321,standing
322,huddled
323,large
324,courtyard
325,conrad
326,hotel
327,chiavenna
328,chiavenna
329,italian
330,town
331,tourist
332,reaches
333,route
334,know
335,town
336,north
337,italy
338,closely
339,surrounded
340,beautiful
341,scenery
342,traveller
343,falls
344,splugen
345,road
346,bewildered
347,loveliness
348,valleys
349,arranges
350,see
351,pressing
352,nose
353,glass
354,coach
355,window
356,town
357,walks
358,hours
359,unsurpassed
360,wild
361,startling
362,beauties
363,gets
364,valleys
365,green
366,emeralds
367,surrounded
368,sides
369,grey
370,broken
371,rocks
372,italian
373,rasselases
374,have
375,lived
376,perfect
377,bliss
378,distant
379,views
380,river
381,courses
382,bounded
383,spurs
384,alps
385,perfect
386,fancy
387,add
388,additional
389,charm
390,conradi
391,hotel
392,means
393,bad
394,days
395,part
396,inclined
397,italian
398,hotels
399,have
400,received
401,worse
402,deserve
403,profess
404,looking
405,creature
406,comforts
407,sooner
408,stay
409,week
410,golden
411,key
412,chiavenna
413,mine
414,host
415,king
416,head
417,thriving
418,commercial
419,town
420,muddleboro
421,borders
422,yorkshire
423,lancashire
424,keen
425,room
426,travelling
427,having
428,secured
429,chamber
430,looking
431,mountains
432,had
433,returned
434,court
435,yard
436,collect
437,baggage
438,mr
439,greene
440,had
441,succeeded
442,realising
443,position
444,understanding
445,had
446,duties
447,settling
448,family
449,night
450,hotel
451,surrounded
452,descended
453,stripping
454,outermost
455,great
456,coats
457,waiters
458,beseeching
459,accommodation
460,require
461,mr
462,greene
463,giving
464,sundry
465,urgent
466,instructions
467,conductor
468,respecting
469,boxes
470,given
471,english
472,surprised
473,find
474,accurately
475,followed
476,man
477,courteous
478,language
479,understand
480,word
481,miss
482,greene
483,standing
484,eighteen
485,years
486,age
487,course
488,business
489,pretty
490,girl
491,means
492,ignorant
493,beauty
494,possessed
495,sufficient
496,wit
497,enable
498,make
499,mr
500,greene
501,leisurely
502,proceedings
503,waiters
504,reduced
505,despair
506,want
507,bed
508,rooms
509,dressing
510,room
511,dinner
512,speaking
513,slowly
514,vernacular
515,assist
516,translating
517,italian
518,speak
519,word
520,language
521,suggested
522,man
523,understand
524,french
525,waiter
526,had
527,understood
528,english
529,waiters
530,understand
531,languages
532,facility
533,marvellous
534,suggested
535,mrs
536,greene
537,follow
538,stairs
539,mrs
540,greene
541,move
542,till
543,had
544,seen
545,boxes
546,mrs
547,greene
548,pretty
549,woman
550,found
551,bound
552,apply
553,assistance
554,people
555,stupid
556,mr
557,greene
558,see
559,box
560,smaller
561,have
562,hundred
563,pounds
564,worth
565,jewellery
566,obliged
567,look
568,startled
569,amount
570,confidence
571,short
572,acquaintance
573,case
574,careful
575,rash
576,know
577,going
578,rash
579,going
580,foreign
581,courts
582,have
583,got
584,sort
585,things
586,wear
587,nas
588,possessed
589,sort
590,had
591,intention
592,going
593,foreign
594,court
595,argue
596,matter
597,assisted
598,getting
599,enormous
600,pile
601,luggage
602,large
603,boxes
604,covered
605,canvas
606,ladies
607,uncommonly
608,carry
609,travelling
610,represented
611,smaller
612,holding
613,jewellery
614,yard
615,long
616,foot
617,half
618,deep
619,ignorant
620,matters
621,have
622,thought
623,sufficient
624,carry
625,lady
626,wardrobe
627,twelve
628,months
629,boxes
630,collected
631,sat
632,jewel
633,case
634,looked
635,face
636,pretty
637,woman
638,thirty
639,years
640,age
641,long
642,light
643,yellow
644,hair
645,allowed
646,escape
647,bonnet
648,knowing
649,unbecoming
650,dishevelled
651,skin
652,delicate
653,complexion
654,good
655,face
656,have
657,been
658,altogether
659,prepossessing
660,had
661,been
662,want
663,gentleness
664,eyes
665,hands
666,soft
667,small
668,have
669,been
670,possessed
671,strong
672,battery
673,feminine
674,attractions
675,knew
676,whisper
677,peculiar
678,proper
679,aspiration
680,wh
681,hisper
682,aspiration
683,word
684,knew
685,island
686,had
687,mr
688,greene
689,keeps
690,money
691,box
692,go
693,sight
694,moment
695,don
696,told
697,ni
698,laid
699,hand
700,heart
701,made
702,solemn
703,asseveration
704,divulge
705,secret
706,have
707,troubled
708,head
709,walked
710,stairs
711,keeping
712,eye
713,precious
714,trunk
715,mr
716,greene
717,addressed
718,englishman
719,mr
720,robinson
721,acknowledged
722,wife
723,irish
724,daughter
725,marriage
726,english
727,see
728,box
729,see
730,began
731,fascinated
732,box
733,keep
734,eyes
735,don
736,know
737,prudent
738,keep
739,money
740,money
741,travelling
742,answered
743,course
744,mentioning
745,brigands
746,italy
747,have
748,person
749,don
750,meddle
751,heavy
752,luggage
753,bills
754,exchange
755,circular
756,notes
757,suggested
758,ah
759,identify
760,happen
761,have
762,headache
763,get
764,changed
765,asked
766,friend
767,mine
768,has
769,been
770,connected
771,bank
772,england
773,fifty
774,years
775,assured
776,sovereigns
777,get
778,loses
779,franc
780,franc
781,half
782,certainty
783,great
784,matter
785,english
786,sovereign
787,go
788,spoke
789,words
790,considerable
791,triumph
792,undoubtedly
793,consent
794,lose
795,shilling
796,sovereign
797,rate
798,have
799,got
800,hundred
801,fifty
802,box
803,have
804,rolls
805,twenty
806,pounds
807,ni
808,recommended
809,keep
810,arrangement
811,private
812,piece
813,counsel
814,confess
815,seemed
816,needed
817,room
818,having
819,accepted
820,invitation
821,mrs
822,greene
823,join
824,party
825,dinner
826,have
827,been
828,dull
829,pleasant
830,ni
831,require
832,pressed
833,join
834,party
835,pretty
836,girl
837,miss
838,greene
839,attractive
840,woman
841,mrs
842,greene
843,accepted
844,invitation
845,readily
846,make
847,toilet
848,passed
849,door
850,mr
851,greene
852,room
853,long
854,file
855,boxes
856,borne
857,centre
858,spent
859,pleasant
860,evening
861,slight
862,drawbacks
863,greene
864,amiable
865,nervous
866,full
867,cares
868,apt
869,bore
870,wanted
871,information
872,thousand
873,points
874,seem
875,understand
876,young
877,man
878,prefer
879,conversation
880,daughter
881,showed
882,solicitude
883,prevent
884,conversation
885,part
886,daughter
887,have
888,been
889,perfectly
890,liberty
891,talk
892,ladies
893,had
894,wished
895,engross
896,attention
897,had
898,found
899,dull
900,wife
901,daughter
902,weeks
903,small
904,spare
905,man
906,fifty
907,years
908,age
909,gave
910,understand
911,had
912,lived
913,london
914,life
915,had
916,made
917,fortune
918,city
919,had
920,city
921,make
922,fortune
923,had
924,doubt
925,have
926,found
927,sharp
928,man
929,business
930,competent
931,teach
932,lesson
933,ignorant
934,infant
935,had
936,caught
937,exchange
938,lloyd
939,big
940,room
941,bank
942,england
943,have
944,been
945,compelled
946,ask
947,town
948,alps
949,lost
950,have
951,been
952,lombard
953,street
954,ready
955,look
956,information
957,means
958,chary
959,giving
960,counsel
961,imparting
962,ideas
963,things
964,general
965,part
966,world
967,have
968,preferred
969,allowed
970,make
971,civil
972,daughter
973,course
974,conversation
975,mentioned
976,intended
977,stay
978,days
979,bellaggio
980,world
981,knows
982,central
983,spot
984,lake
985,como
986,favourite
987,resting
988,place
989,travellers
990,lakes
991,meet
992,give
993,como
994,properly
995,called
996,lakes
997,como
998,colico
999,lecco
1000,bellaggio
1001,spot
1002,waters
1003,join
1004,had
1005,half
1006,made
1007,mind
1008,sleep
1009,night
1010,road
1011,italy
1012,hearing
1013,purpose
1014,declared
1015,intention
1016,pleasant
1017,mrs
1018,greene
1019,delightful
1020,have
1021,show
1022,settle
1023,dear
1024,have
1025,trouble
1026,mr
1027,greene
1028,sophonisba
1029,won
1030,sophonisba
1031,had
1032,heard
1033,papa
1034,had
1035,called
1036,sophy
1037,yard
1038,inn
1039,sophonisba
1040,greene
1041,sophonisba
1042,robinson
1043,sound
1044,badly
1045,ears
1046,confess
1047,had
1048,tried
1049,names
1050,papa
1051,had
1052,mentioned
1053,had
1054,child
1055,had
1056,mentioned
1057,had
1058,made
1059,fortune
1060,family
1061,contest
1062,amount
1063,travelling
1064,labour
1065,fell
1066,lot
1067,party
1068,retired
1069,windows
1070,big
1071,front
1072,room
1073,sitting
1074,labour
1075,incidental
1076,tourist
1077,pursuits
1078,contests
1079,arise
1080,journey
1081,has
1082,travelled
1083,known
1084,had
1085,position
1086,window
1087,thought
1088,have
1089,removed
1090,hearing
1091,time
1092,time
1093,word
1094,catch
1095,ear
1096,precious
1097,box
1098,have
1099,eyes
1100,left
1101,england
1102,mrs
1103,greene
1104,speaking
1105,quick
1106,considerable
1107,brogue
1108,superinduced
1109,energy
1110,have
1111,been
1112,basle
1113,had
1114,been
1115,looking
1116,safe
1117,sophonisba
1118,large
1119,things
1120,safe
1121,miss
1122,know
1123,suppose
1124,bonnet
1125,box
1126,safe
1127,found
1128,platform
1129,forget
1130,place
1131,freidrichshafen
1132,sophonisba
1133,unnecessary
1134,amount
1135,teutonic
1136,skill
1137,pronunciation
1138,mamma
1139,have
1140,told
1141,twenty
1142,times
1143,ladies
1144,took
1145,rooms
1146,weary
1147,travelling
1148,days
1149,night
1150,mr
1151,greene
1152,fast
1153,asleep
1154,comfortless
1155,chair
1156,seated
1157,chapter
1158,clock
1159,morning
1160,started
1161,journey
1162,early
1163,bed
1164,early
1165,rise
1166,nis
1167,healthy
1168,wealthy
1169,wise
1170,nwe
1171,know
1172,lesson
1173,believe
1174,lesson
1175,italians
1176,healthiest
1177,wealthiest
1178,wisest
1179,men
1180,women
1181,clock
1182,seems
1183,natural
1184,hour
1185,commencing
1186,day
1187,work
1188,have
1189,started
1190,chiavenna
1191,clock
1192,order
1193,kept
1194,waiting
1195,boat
1196,hour
1197,half
1198,quay
1199,colico
1200,don
1201,know
1202,destiny
1203,remained
1204,hour
1205,half
1206,mrs
1207,greene
1208,sitting
1209,pertinaciously
1210,important
1211,box
1212,had
1213,designated
1214,smaller
1215,ranged
1216,row
1217,had
1218,opportunity
1219,comparing
1220,smaller
1221,inch
1222,high
1223,inch
1224,half
1225,shorter
1226,sharp
1227,woman
1228,observed
1229,scrutiny
1230,know
1231,loud
1232,whisper
1233,hole
1234,canvas
1235,put
1236,finger
1237,slight
1238,rent
1239,ends
1240,greene
1241,italian
1242,brigands
1243,walk
1244,shoulders
1245,eyes
1246,wouldn
1247,wiser
1248,helpless
1249,men
1250,mr
1251,robinson
1252,have
1253,women
1254,look
1255,have
1256,got
1257,look
1258,have
1259,left
1260,world
1261,fault
1262,have
1263,asked
1264,half
1265,dozen
1266,mr
1267,robinson
1268,time
1269,passed
1270,quay
1271,colico
1272,till
1273,boat
1274,took
1275,have
1276,preferred
1277,pass
1278,time
1279,making
1280,agreeable
1281,younger
1282,lady
1283,younger
1284,lady
1285,stood
1286,aloof
1287,turning
1288,nose
1289,thought
1290,mamma
1291,attempt
1292,describe
1293,scenery
1294,colico
1295,town
1296,vilest
1297,places
1298,sun
1299,having
1300,accommodation
1301,travellers
1302,excessively
1303,unhealthy
1304,north
1305,south
1306,alps
1307,add
1308,beat
1309,beauty
1310,mountains
1311,cluster
1312,round
1313,head
1314,lake
1315,had
1316,sat
1317,boxes
1318,hour
1319,half
1320,board
1321,steamer
1322,had
1323,been
1324,lying
1325,shore
1326,commenced
1327,journey
1328,course
1329,good
1330,deal
1331,exertion
1332,care
1333,getting
1334,packages
1335,shore
1336,boat
1337,observed
1338,half
1339,eye
1340,head
1341,have
1342,seen
1343,mental
1344,anxiety
1345,expended
1346,box
1347,marked
1348,small
1349,hole
1350,canvas
1351,exceeded
1352,extended
1353,boxes
1354,deserve
1355,stolen
1356,fools
1357,breakfast
1358,cabin
1359,suppose
1360,safe
1361,mrs
1362,greene
1363,ignoring
1364,fact
1365,cabin
1366,waiter
1367,understood
1368,english
1369,had
1370,ordered
1371,veal
1372,cutlets
1373,language
1374,safe
1375,church
1376,replied
1377,wishing
1378,give
1379,apparent
1380,importance
1381,subject
1382,carry
1383,mr
1384,greene
1385,innocent
1386,attempt
1387,joke
1388,looking
1389,eyes
1390,throw
1391,overboard
1392,sophonisba
1393,made
1394,mind
1395,good
1396,natured
1397,girl
1398,moment
1399,breakfast
1400,mrs
1401,greene
1402,returned
1403,stairs
1404,found
1405,seated
1406,benches
1407,funnel
1408,keep
1409,eyes
1410,fixed
1411,box
1412,obliged
1413,carry
1414,jewels
1415,careful
1416,mr
1417,robinson
1418,apologetically
1419,becoming
1420,tired
1421,box
1422,funnel
1423,hot
1424,unpleasant
1425,left
1426,had
1427,made
1428,mind
1429,sophonisba
1430,ill
1431,natured
1432,pretty
1433,man
1434,uvres
1435,object
1436,getting
1437,conversation
1438,surprised
1439,frankness
1440,tired
1441,mamma
1442,box
1443,made
1444,answer
1445,declaring
1446,interested
1447,safety
1448,precious
1449,trunk
1450,makes
1451,sick
1452,sophonisba
1453,hear
1454,go
1455,perfect
1456,stranger
1457,heard
1458,jewellery
1459,natural
1460,anxious
1461,seeing
1462,valuable
1463,bring
1464,sophonisba
1465,managed
1466,live
1467,jewels
1468,till
1469,papa
1470,married
1471,year
1472,travel
1473,month
1474,lugging
1475,glad
1476,steal
1477,mr
1478,greene
1479,money
1480,don
1481,want
1482,papa
1483,bothered
1484,declare
1485,box
1486,lost
1487,day
1488,fool
1489,don
