id,label
0,28
1,27
2,28
3,11
4,13
5,25
6,24
7,12
8,7
9,17
10,17
11,28
12,27
13,16
14,21
15,26
16,12
17,27
18,30
19,29
20,30
21,30
22,23
23,13
24,20
25,14
26,25
27,9
28,28
29,27
30,10
31,24
32,21
33,26
34,24
35,29
36,26
37,9
38,20
39,22
40,12
41,30
42,29
43,6
44,10
45,30
46,29
47,20
48,23
49,24
50,21
51,17
52,11
53,14
54,15
55,15
56,30
57,22
58,11
59,26
60,17
61,9
62,30
63,20
64,16
65,11
66,10
67,12
68,15
69,10
70,9
71,23
72,27
73,11
74,15
75,9
76,22
77,25
78,24
79,11
80,17
81,16
82,24
83,17
84,20
85,12
86,10
87,16
88,26
89,30
90,26
91,30
92,19
93,21
94,11
95,27
96,19
97,12
98,13
99,18
100,26
101,16
102,25
103,14
104,10
105,13
106,7
107,16
108,14
109,13
110,20
111,27
112,20
113,11
114,24
115,30
116,6
117,28
118,9
119,18
120,21
121,22
122,18
123,9
124,16
125,28
126,15
127,28
128,26
129,28
130,15
131,6
132,19
133,27
134,22
135,12
136,20
137,20
138,15
139,26
140,25
141,22
142,27
143,7
144,13
145,24
146,28
147,22
148,12
149,25
150,27
151,22
152,27
153,27
154,23
155,11
156,23
157,26
158,17
159,19
160,26
161,10
162,21
163,26
164,13
165,28
166,25
167,18
168,17
169,23
170,26
171,26
172,16
173,19
174,11
175,27
176,26
177,26
178,11
179,19
180,28
181,13
182,13
183,18
184,30
185,9
186,6
187,23
188,13
189,12
190,10
191,28
192,7
193,24
194,21
195,8
196,17
197,26
198,20
199,14
200,8
201,17
202,17
203,26
204,12
205,15
206,21
207,20
208,12
209,24
210,26
211,12
212,13
213,8
214,24
215,12
216,13
217,27
218,27
219,10
220,14
221,23
222,15
223,24
224,7
225,19
226,15
227,18
228,27
229,29
230,24
231,14
232,24
233,14
234,22
235,10
236,15
237,12
238,13
239,29
240,10
241,19
242,20
243,25
244,27
245,16
246,21
247,27
248,12
249,21
250,26
251,24
252,12
253,14
254,24
255,30
256,21
257,24
258,30
259,19
260,11
261,24
262,20
263,20
264,19
265,8
266,8
267,13
268,6
269,10
270,25
271,26
272,25
